Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
14,Oskar Ågren,se SWE,DF,San Jose,23,1998,2.8,0,1,0,0,0.36,0,0,,7.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,5ad77e97
15,Daniel Aguirre,us USA,MFDF,LA Galaxy,22,1999,4.2,1,4,2,50,0.96,0.48,0.25,0.5,20.1,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches,ecc5063f
16,Ali Ahmed,ca CAN,DF,Vancouver,21,2000,0.6,0,1,0,0,1.61,0,0,,12.8,0,0,0,0,0,0.04,0,0,Matches,540a5be1
17,Arnaud Ake,ci CIV,FWMF,Nashville,23,1998,3.5,1,4,1,25,1.13,0.28,0.25,1,10.9,0,0,0,0.6,0.6,0.16,0.4,0.4,Matches,3402bb17
18,Tesho Akindele,ca CAN,FW,Orlando City,29,1992,6.8,3,22,6,27.3,3.25,0.89,0.14,0.5,11.3,0,0,0,2.4,2.4,0.11,0.6,0.6,Matches,8.97E+10
19,Matai Akinmboni,us USA,DF,D.C. United,15,2006,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,cfed08d5
20,Ayo Akinola,ca CAN,FW,Toronto FC,22,2000,13.8,2,26,7,26.9,1.89,0.51,0.08,0.29,14.2,0,0,0,3.9,3.9,0.16,-1.9,-1.9,Matches,214d2406
21,Jordy Alcivar,ec ECU,MF,Charlotte,22,1999,11.3,1,16,7,43.8,1.41,0.62,0.06,0.14,26.3,3,0,0,0.8,0.8,0.05,0.2,0.2,Matches,6e98c19f
22,Caio Alexandre,br BRA,MFDF,Vancouver,22,1999,0.9,0,1,0,0,1.11,0,0,,29.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,08ac23b7
23,Tony Alfaro,us USA,DF,D.C. United,28,1993,10.5,0,1,0,0,0.1,0,0,,21.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,4118b12a
24,Noah Allen,us USA,DFMF,Inter Miami,17,2004,3.6,0,3,0,0,0.83,0,0,,23.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,043f389a
25,Thiago Almada,ar ARG,MFFW,Atlanta Utd,20,2001,26.4,6,77,24,31.2,2.92,0.91,0.08,0.25,22.5,7,0,0,6,6,0.08,0,0,Matches,27f33438
