Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
656,Jefferson Savarino,ve VEN,FWMF,Real Salt Lake,25,1996,19,17,1522,16.9,7,4,11,7,0,0,2,0,4.5,4.5,4.2,8.7,30,85,114,0.41,0.24,0.65,0.41,0.65,0.27,0.25,0.52,0.27,0.52,Matches,91721722
657,Rodrigo Schlegel,ar ARG,DF,Orlando City,24,1997,29,23,2168,24.1,1,0,1,1,0,0,8,1,1,1,0.3,1.3,22,75,3,0.04,0,0.04,0.04,0.04,0.04,0.01,0.06,0.04,0.06,Matches,5bb02df4
658,Tate Schmitt,us USA,DFMF,Real Salt Lake,24,1997,14,10,860,9.6,2,1,3,2,0,0,4,0,0.6,0.6,0.4,1,16,28,34,0.21,0.1,0.31,0.21,0.31,0.06,0.04,0.1,0.06,0.1,Matches,fa21bbc8
659,Alessandro Schöpf,at AUT,MF,Vancouver,27,1994,7,5,342,3.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,8,11,23,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,Matches,106bca06
660,Eddie Segura,co COL,DF,Los Angeles FC,24,1997,14,8,828,9.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,38,5,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04,Matches,c70e3fe0
661,Amar Sejdic,us USA,MF,Atlanta Utd,25,1996,23,18,1306,14.5,0,1,1,0,0,0,5,0,0.4,0.4,1.7,2.1,7,71,28,0,0.07,0.07,0,0.07,0.03,0.12,0.15,0.03,0.15,Matches,43ca2019
662,Boris Sekulić,sk SVK,DF,Chicago Fire,30,1991,33,32,2815,31.3,0,2,2,0,0,0,5,0,1.2,1.2,3,4.2,38,134,85,0,0.06,0.06,0,0.06,0.04,0.1,0.14,0.04,0.14,Matches,adf26bd4
663,Brandon Servania,us USA,MF,FC Dallas,22,1999,23,15,1321,14.7,2,3,5,2,0,0,7,2,1.5,1.5,1.8,3.3,20,71,29,0.14,0.2,0.34,0.14,0.34,0.1,0.12,0.22,0.1,0.22,Matches,4d825a2d
664,Jacob Shaffelburg,ca CAN,DFFW,Toronto FC,22,1999,13,6,581,6.5,0,1,1,0,0,0,1,0,0.9,0.9,0.2,1,32,26,49,0,0.15,0.15,0,0.15,0.13,0.03,0.16,0.13,0.16,Matches,339a2561
665,Jacob Shaffelburg,ca CAN,MFFW,Nashville,22,1999,8,7,506,5.6,2,0,2,2,0,0,0,0,1.3,1.3,0.6,1.9,25,15,38,0.36,0,0.36,0.36,0.36,0.23,0.1,0.34,0.23,0.34,Matches,339a2561
666,Xherdan Shaqiri,ch SUI,MF,Chicago Fire,30,1991,29,27,2252,25,7,7,14,3,4,4,4,0,6.6,3.4,7.6,11,59,184,213,0.28,0.28,0.56,0.12,0.4,0.26,0.3,0.57,0.14,0.44,Matches,6421ec64
667,Brek Shea,us USA,DF,Inter Miami,31,1990,4,2,161,1.8,0,0,0,0,0,0,0,1,0,0,0.1,0.1,2,6,9,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,adb6ae24
668,Khiry Shelton,us USA,FW,Sporting KC,28,1993,24,15,1407,15.6,1,1,2,1,0,0,1,0,2.1,2.1,0.5,2.7,15,20,61,0.06,0.06,0.13,0.06,0.13,0.14,0.03,0.17,0.14,0.17,Matches,f935709c
669,Andre Shinyashiki,br BRA,FWMF,Colorado Rapids,26,1995,8,2,216,2.4,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.1,6,11,13,0.42,0,0.42,0.42,0.42,0.33,0.15,0.47,0.33,0.47,Matches,8c395868
670,Andre Shinyashiki,br BRA,MFFW,Charlotte,26,1995,21,8,844,9.4,6,0,6,6,0,0,3,0,3.7,3.7,0.3,3.9,24,40,96,0.64,0,0.64,0.64,0.64,0.39,0.03,0.42,0.39,0.42,Matches,8c395868
671,Bobby Shuttleworth,us USA,GK,Atlanta Utd,34,1987,7,6,558,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4598ac94
672,Marcelo Silva,uy URU,DF,Real Salt Lake,32,1989,31,31,2774,30.8,2,0,2,2,0,0,5,0,2.1,2.1,0.7,2.8,3,47,4,0.06,0,0.06,0.06,0.06,0.07,0.02,0.09,0.07,0.09,Matches,b9596515
673,Pablo Sisniega,mx MEX,GK,Charlotte,26,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5.51E+06
674,Jack Skahan,us USA,DFMF,San Jose,23,1998,10,0,96,1.1,1,0,1,1,0,0,0,0,0.1,0.1,1,1.1,2,8,9,0.94,0,0.94,0.94,0.94,0.1,0.97,1.07,0.1,1.07,Matches,9c07bdc7
675,Drew Skundrich,us USA,MFDF,D.C. United,26,1995,19,9,883,9.8,0,1,1,0,0,0,2,0,0.2,0.2,0.2,0.4,7,50,19,0,0.1,0.1,0,0.1,0.02,0.02,0.04,0.02,0.04,Matches,51f50135
676,Gaga Slonina,us USA,GK,Chicago Fire,17,2004,32,32,2880,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c55a846e
677,Brad Smith,au AUS,DF,D.C. United,27,1994,16,14,1148,12.8,0,1,1,0,0,0,2,0,0.6,0.6,1.8,2.4,33,46,77,0,0.08,0.08,0,0.08,0.05,0.14,0.19,0.05,0.19,Matches,c76c717c
678,Kimarni Smith,eng ENG,DFMF,D.C. United,23,1998,17,2,358,4,1,1,2,1,0,0,1,0,0.8,0.8,0.4,1.2,16,15,26,0.25,0.25,0.5,0.25,0.5,0.21,0.1,0.31,0.21,0.31,Matches,bbbb244b
679,Kyle Smith,us USA,DF,Orlando City,30,1992,29,14,1388,15.4,2,0,2,2,0,0,5,0,0.7,0.7,0.6,1.3,14,57,56,0.13,0,0.13,0.13,0.13,0.04,0.04,0.08,0.04,0.08,Matches,9e6b2ec3
680,Jan Sobociński,pl POL,DF,Charlotte,22,1999,9,3,379,4.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,4,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,5358009d
681,Santiago Sosa,ar ARG,MF,Atlanta Utd,22,1999,21,15,1409,15.7,1,0,1,1,0,0,5,0,1.2,1.2,0.9,2.1,15,146,13,0.06,0,0.06,0.06,0.06,0.08,0.06,0.13,0.08,0.13,Matches,f080dd22
682,Ryan Spaulding,us USA,DF,New England,23,1998,7,3,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,8,11,21,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,9fda5cd3
683,Steven Sserwadda,ug UGA,MF,NY Red Bulls,19,2002,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches,bddc8df4
684,Dayne St. Clair,ca CAN,GK,Minnesota Utd,24,1997,32,32,2835,31.5,0,1,1,0,0,0,1,0,0,0,0.2,0.2,0,0,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,Matches,3f41d25f
685,Mason Stajduhar,us USA,GK,Orlando City,24,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f01df62c
686,Daniel Steres,us USA,DF,Houston Dynamo,31,1990,18,14,1343,14.9,2,1,3,2,0,0,5,0,1.1,1.1,0.2,1.3,3,31,4,0.13,0.07,0.2,0.13,0.2,0.07,0.02,0.09,0.07,0.09,Matches,17c03c76
687,Jared Stroud,us USA,MFFW,Austin,25,1996,5,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches,5d018899
688,Brad Stuver,us USA,GK,Austin,30,1991,31,31,2708,30.1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches,6a1940d5
689,Quinn Sullivan,us USA,FWMF,Philadelphia,17,2004,17,1,245,2.7,1,0,1,1,0,0,1,0,0.7,0.7,0.6,1.2,9,8,27,0.37,0,0.37,0.37,0.37,0.24,0.21,0.45,0.24,0.45,Matches,92f62cfe
690,Ben Sweat,us USA,DF,Sporting KC,30,1991,20,18,1524,16.9,0,3,3,0,0,0,4,0,0.7,0.7,1.7,2.3,27,53,79,0,0.18,0.18,0,0.18,0.04,0.1,0.14,0.04,0.14,Matches,6937b1ac
691,Karol Świderski,pl POL,FWMF,Charlotte,25,1997,30,29,2458,27.3,10,4,14,10,0,0,3,0,9.2,9.2,2.8,12,33,59,141,0.37,0.15,0.51,0.37,0.51,0.34,0.1,0.44,0.34,0.44,Matches,41723204
692,Nkosi Tafari,us USA,DF,FC Dallas,24,1997,27,11,1326,14.7,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,4,47,2,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches,4a07ae31
693,Ismael Tajouri-Shradi,ly LBY,FWMF,Los Angeles FC,27,1994,6,0,167,1.9,2,0,2,2,0,0,0,0,0.6,0.6,0.3,0.9,5,7,20,1.08,0,1.08,1.08,1.08,0.3,0.18,0.48,0.3,0.48,Matches,ef4249ff
694,Andrew Tarbell,us USA,GK,Austin,28,1993,4,3,352,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c5487a34
695,D.J. Taylor,us USA,DF,Minnesota Utd,24,1997,26,23,2087,23.2,1,2,3,1,0,0,3,0,0.7,0.7,1.9,2.6,31,114,127,0.04,0.09,0.13,0.04,0.13,0.03,0.08,0.11,0.03,0.11,Matches,ed4dc7f4
696,Robert Taylor,fi FIN,MFFW,Inter Miami,27,1994,33,26,2222,24.7,3,2,5,3,0,0,2,0,3.7,3.7,3.1,6.8,76,93,152,0.12,0.08,0.2,0.12,0.2,0.15,0.12,0.27,0.15,0.27,Matches,1fc0973f
697,Russell Teibert,ca CAN,MF,Vancouver,29,1992,29,24,2035,22.6,0,0,0,0,0,0,5,0,0.6,0.6,0.5,1.2,10,72,54,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches,674befe9
698,Cristian Tello,es ESP,FWMF,Los Angeles FC,30,1991,4,0,98,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,5,6,14,0,0,0,0,0,0.22,0.09,0.31,0.22,0.31,Matches,72a99e38
699,Carlos Terán,co COL,DF,Chicago Fire,21,2000,22,19,1674,18.6,1,0,1,1,0,0,6,0,1.7,1.7,0.3,2,4,40,1,0.05,0,0.05,0.05,0.05,0.09,0.01,0.11,0.09,0.11,Matches,3.25E+07
700,Dylan Teves,us USA,FWMF,Seattle,21,2000,6,1,101,1.1,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,1,4,12,0.89,0,0.89,0.89,0.89,0.38,0,0.38,0.38,0.38,Matches,f68ed3ba
701,Thiago,br BRA,FW,NYCFC,21,2000,33,14,1405,15.6,5,2,7,5,0,0,1,0,5,5,2.4,7.4,48,44,135,0.32,0.13,0.45,0.32,0.45,0.32,0.15,0.47,0.32,0.47,Matches,6adb0b79
702,Thiaguinho,br BRA,FWMF,Houston Dynamo,20,2001,3,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,Matches,e3550df1
703,Erik Thommy,de GER,MF,Sporting KC,27,1994,12,10,880,9.8,3,1,4,3,0,0,1,0,2.1,2.1,1.1,3.2,45,51,59,0.31,0.1,0.41,0.31,0.41,0.21,0.11,0.32,0.21,0.32,Matches,df8e7b62
704,Kosi Thompson,ca CAN,DFMF,Toronto FC,19,2003,24,19,1620,18,1,1,2,1,0,0,1,0,0.8,0.8,1,1.7,33,47,89,0.06,0.06,0.11,0.06,0.11,0.04,0.06,0.1,0.04,0.1,Matches,517bef8b
705,Tommy Thompson,us USA,DF,San Jose,26,1995,27,14,1322,14.7,1,2,3,1,0,0,1,0,1.1,1.1,0.8,1.9,44,72,69,0.07,0.14,0.2,0.07,0.2,0.08,0.05,0.13,0.08,0.13,Matches,5f6c69d8
706,Anton Tinnerholm,se SWE,DFMF,NYCFC,30,1991,10,5,580,6.4,0,0,0,0,0,0,2,0,0.2,0.2,1.1,1.2,11,30,33,0,0,0,0,0,0.02,0.17,0.19,0.02,0.19,Matches,0fe96099
707,John Tolkin,us USA,DFMF,NY Red Bulls,19,2002,31,31,2744,30.5,1,3,4,1,0,0,7,0,1.6,1.6,2.5,4.1,48,81,130,0.03,0.1,0.13,0.03,0.13,0.05,0.08,0.13,0.05,0.13,Matches,5e88c524
708,Nouhou Tolo,cm CMR,DF,Seattle,24,1997,30,28,2502,27.8,1,2,3,1,0,0,5,0,0.9,0.9,1.8,2.6,62,67,136,0.04,0.07,0.11,0.04,0.11,0.03,0.06,0.09,0.03,0.09,Matches,0796512f
709,Facundo Torres,uy URU,FWMF,Orlando City,21,2000,33,29,2585,28.7,9,8,17,8,1,1,1,0,4.7,4,5.4,9.4,82,183,241,0.31,0.28,0.59,0.28,0.56,0.16,0.19,0.35,0.14,0.33,Matches,4de3b2c0
710,Jairo Torres,mx MEX,FWMF,Chicago Fire,21,2000,14,6,687,7.6,0,0,0,0,0,0,1,0,1.1,1.1,0.6,1.7,23,24,57,0,0,0,0,0,0.15,0.08,0.23,0.15,0.23,Matches,7ed56490
711,Joaquín Torres,ar ARG,MFFW,CF Montréal,25,1997,27,15,1311,14.6,3,2,5,3,0,1,3,0,3.8,3,2.2,5.2,47,71,99,0.21,0.14,0.34,0.21,0.34,0.26,0.15,0.41,0.21,0.36,Matches,c82dcb70
712,Dantouma Toure,gn GUI,FWMF,Colorado Rapids,17,2004,5,0,38,0.4,1,0,1,1,0,0,1,0,0.3,0.3,0,0.3,1,0,5,2.37,0,2.37,2.37,2.37,0.81,0,0.81,0.81,0.81,Matches,b5d2014f
713,Mason Toye,us USA,FW,CF Montréal,23,1998,18,8,726,8.1,2,0,2,2,0,0,1,0,3.1,3.1,0.3,3.3,10,10,54,0.25,0,0.25,0.25,0.25,0.38,0.03,0.41,0.38,0.41,Matches,0aa41f67
714,Wil Trapp,us USA,MF,Minnesota Utd,29,1993,27,25,2127,23.6,0,0,0,0,0,0,11,0,0.3,0.3,0.5,0.8,12,130,25,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches,9bf9391c
715,Miguel Trauco,pe PER,DF,San Jose,29,1992,3,1,137,1.5,0,2,2,0,0,0,0,0,0,0,0.1,0.1,2,8,2,0,1.31,1.31,0,1.31,0.03,0.05,0.08,0.03,0.08,Matches,e4b72e34
716,Danny Trejo,us USA,FW,Los Angeles FC,23,1998,3,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,1,7,0,0,0,0,0,0.12,0.21,0.34,0.12,0.34,Matches,1312c534
717,Auston Trusty,us USA,DF,Colorado Rapids,23,1998,16,16,1439,16,0,0,0,0,0,0,5,1,0.8,0.8,0.4,1.2,17,58,20,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08,Matches,cddf767b
718,Niko Tsakiris,us USA,MF,San Jose,16,2005,10,3,370,4.1,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.6,11,38,15,0,0,0,0,0,0.09,0.06,0.15,0.09,0.15,Matches,cb501677
719,Bill Tuiloma,nz NZL,DF,Portland Timbers,26,1995,30,24,2255,25.1,6,2,8,6,0,0,6,1,3.7,3.7,0.9,4.7,13,80,16,0.24,0.08,0.32,0.24,0.32,0.15,0.04,0.19,0.15,0.19,Matches,bf547c54
720,Matt Turner,us USA,GK,New England,27,1994,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4a51ba65
721,Ema Twumasi,gh GHA,DF,FC Dallas,24,1997,31,24,2109,23.4,0,1,1,0,0,0,6,0,0.8,0.8,1,1.8,67,71,92,0,0.04,0.04,0,0.04,0.03,0.04,0.08,0.03,0.08,Matches,9ca4b140
722,Marinos Tzionis,cy CYP,FWMF,Sporting KC,20,2001,27,6,779,8.7,1,0,1,1,0,0,0,0,2.1,2.1,0.9,3,35,29,63,0.12,0,0.12,0.12,0.12,0.25,0.1,0.35,0.25,0.35,Matches,b004076a
723,Mikael Uhre,dk DEN,FW,Philadelphia,27,1994,27,21,1617,18,13,3,16,13,0,0,1,0,8.1,8.1,2.7,10.7,48,33,125,0.72,0.17,0.89,0.72,0.89,0.45,0.15,0.6,0.45,0.6,Matches,be84c466
724,Þorleifur Úlfarsson,is ISL,FW,Houston Dynamo,21,2000,31,11,1202,13.4,4,1,5,4,0,0,3,0,5.6,5.6,0.8,6.4,14,13,77,0.3,0.07,0.37,0.3,0.37,0.42,0.06,0.48,0.42,0.48,Matches,7e1046fa
725,Victor Ulloa,us USA,MFDF,Inter Miami,29,1992,19,3,367,4.1,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.9,4,11,13,0,0.25,0.25,0,0.25,0.03,0.18,0.21,0.03,0.21,Matches,e7056f05
726,Maximiliano Urruti,ar ARG,FW,Austin,30,1991,32,28,2184,24.3,9,0,9,9,0,0,6,0,6.3,6.3,1.3,7.6,25,28,78,0.37,0,0.37,0.37,0.37,0.26,0.05,0.32,0.26,0.32,Matches,6c8fb474
727,Júnior Urso,br BRA,MFFW,Orlando City,32,1989,34,29,2559,28.4,5,4,9,5,0,0,7,0,4.9,4.9,2.6,7.5,46,136,102,0.18,0.14,0.32,0.18,0.32,0.17,0.09,0.26,0.17,0.26,Matches,b40424f1
728,Jhojan Valencia,co COL,MF,Austin,25,1996,13,4,471,5.2,0,1,1,0,0,0,5,0,0,0,0.2,0.3,2,20,0,0,0.19,0.19,0,0.19,0,0.05,0.05,0,0.05,Matches,3fbe573e
729,Zarek Valentin,pr PUR,DF,Houston Dynamo,30,1991,5,4,371,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,f0d23e7b
730,Gustavo Vallecilla,ec ECU,DF,Colorado Rapids,22,1999,12,7,567,6.3,0,0,0,0,0,0,4,2,0.2,0.2,0.1,0.2,3,12,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches,2ce88662
731,José Van Rankin,mx MEX,DF,Portland Timbers,28,1993,24,23,1916,21.3,1,0,1,1,0,0,10,2,0.8,0.8,1,1.8,27,70,67,0.05,0,0.05,0.05,0.05,0.04,0.05,0.08,0.04,0.08,Matches,09ce2ebe
732,Kerwin Vargas,co COL,FWMF,Charlotte,20,2002,13,8,633,7,0,0,0,0,0,0,0,0,0.9,0.9,1.1,2,16,12,64,0,0,0,0,0,0.14,0.15,0.29,0.14,0.29,Matches,758de7b4
733,Obed Vargas,us USA,MFFW,Seattle,16,2005,13,10,851,9.5,0,0,0,0,0,0,5,0,0.3,0.3,0.5,0.8,15,35,14,0,0,0,0,0,0.03,0.06,0.08,0.03,0.08,Matches,9cc1fde4
734,Indiana Vassilev,us USA,FWMF,Inter Miami,20,2001,24,13,1059,11.8,2,0,2,2,0,0,3,0,1.9,1.9,0.6,2.5,42,41,83,0.17,0,0.17,0.17,0.17,0.16,0.05,0.21,0.16,0.21,Matches,04e195ee
735,Brandon Vazquez,us USA,FW,FC Cincinnati,23,1998,33,32,2740,30.4,18,8,26,18,0,0,1,0,14.9,14.9,4.1,19,47,36,199,0.59,0.26,0.85,0.59,0.85,0.49,0.13,0.62,0.49,0.62,Matches,c570cf22
736,Víctor Vázquez,es ESP,MFFW,LA Galaxy,35,1987,26,15,1159,12.9,2,3,5,2,0,0,4,0,1.2,1.2,3.2,4.4,22,119,79,0.16,0.23,0.39,0.16,0.39,0.09,0.25,0.34,0.09,0.34,Matches,6c564d36
737,Carlos Vela,mx MEX,FWMF,Los Angeles FC,32,1989,32,28,2319,25.8,12,9,21,8,4,5,2,0,9.4,5.4,8.8,14.3,63,177,245,0.47,0.35,0.82,0.31,0.66,0.36,0.34,0.71,0.21,0.55,Matches,e0cd04e0
738,Alan Velasco,ar ARG,FW,FC Dallas,19,2002,26,23,1928,21.4,6,5,11,6,0,0,7,0,3.7,3.7,4.7,8.4,66,96,124,0.28,0.23,0.51,0.28,0.51,0.17,0.22,0.39,0.17,0.39,Matches,16349210
739,Matías Vera,ar ARG,MF,Houston Dynamo,26,1995,28,28,2184,24.3,0,0,0,0,0,0,8,1,0.5,0.5,0.3,0.8,16,102,13,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,fe529f25
740,Ranko Veselinović,rs SRB,DF,Vancouver,22,1999,31,31,2761,30.7,1,2,3,1,0,0,5,0,0.8,0.8,1.1,1.9,4,49,0,0.03,0.07,0.1,0.03,0.1,0.03,0.04,0.06,0.03,0.06,Matches,366609b6
741,Pedro Vite,ec ECU,MFFW,Vancouver,19,2002,24,14,1193,13.3,2,2,4,2,0,0,2,0,1.5,1.5,2.7,4.2,17,92,101,0.15,0.15,0.3,0.15,0.3,0.11,0.2,0.32,0.11,0.32,Matches,9c146b36
742,Robert Voloder,ba BIH,DF,Sporting KC,20,2001,12,7,719,8,1,0,1,1,0,0,2,1,0,0,0.1,0.1,19,38,5,0.13,0,0.13,0.13,0.13,0.01,0.01,0.01,0.01,0.01,Matches,33d9d789
743,Giacomo Vrioni,al ALB,FW,New England,23,1998,7,2,251,2.8,1,0,1,0,1,1,1,0,2.2,1.8,0,1.8,4,4,12,0.36,0,0.36,0,0,0.8,0,0.8,0.63,0.63,Matches,bf4d31d3
744,Nikola Vujnović,me MNE,FW,Sporting KC,25,1997,9,4,334,3.7,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1,3,4,22,0,0,0,0,0,0.19,0.09,0.28,0.19,0.28,Matches,128d62ba
745,Kai Wagner,de GER,DF,Philadelphia,24,1997,33,33,2950,32.8,0,8,8,0,0,0,6,1,0.6,0.6,7.8,8.4,55,100,112,0,0.24,0.24,0,0.24,0.02,0.24,0.26,0.02,0.26,Matches,fdc715d9
746,Anton Walkes,eng ENG,DF,Charlotte,24,1997,23,21,1806,20.1,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,3,54,4,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches,8a062bba
747,Rémi Walter,fr FRA,MF,Sporting KC,26,1995,34,34,2972,33,3,1,4,3,0,0,3,0,1.1,1.1,2.4,3.4,20,132,31,0.09,0.03,0.12,0.09,0.12,0.03,0.07,0.1,0.03,0.1,Matches,0984c5d5
748,Victor Wanyama,ke KEN,MF,CF Montréal,30,1991,32,30,2633,29.3,1,3,4,1,0,0,8,0,3,3,2.9,5.9,32,185,33,0.03,0.1,0.14,0.03,0.14,0.1,0.1,0.2,0.1,0.2,Matches,e0900238
749,Collen Warner,us USA,MF,Colorado Rapids,33,1988,18,6,640,7.1,1,0,1,1,0,0,3,0,1.3,1.3,0.2,1.5,3,38,4,0.14,0,0.14,0.14,0.14,0.18,0.03,0.21,0.18,0.21,Matches,75babbce
750,Taylor Washington,us USA,DFMF,Nashville,28,1993,14,6,601,6.7,0,1,1,0,0,0,3,0,0.1,0.1,1,1.1,22,22,35,0,0.15,0.15,0,0.15,0.01,0.16,0.17,0.01,0.17,Matches,480d3bcc
751,Joel Waterman,ca CAN,DF,CF Montréal,26,1996,30,30,2671,29.7,3,2,5,3,0,0,12,0,2.7,2.7,1.5,4.1,21,144,14,0.1,0.07,0.17,0.1,0.17,0.09,0.05,0.14,0.09,0.14,Matches,47ddcc22
752,Quentin Westberg,us USA,GK,Toronto FC,35,1986,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5480ae05
753,Brian White,us USA,FW,Vancouver,25,1996,26,19,1667,18.5,4,1,5,4,0,0,1,0,5.2,5.2,1.9,7.1,11,22,117,0.22,0.05,0.27,0.22,0.27,0.28,0.1,0.38,0.28,0.38,Matches,54c948de
754,Caleb Wiley,us USA,DFFW,Atlanta Utd,17,2004,26,18,1497,16.6,1,1,2,1,0,0,1,0,1.3,1.3,2.4,3.7,58,44,139,0.06,0.06,0.12,0.06,0.12,0.08,0.15,0.22,0.08,0.22,Matches,64796fe0
755,Derrick Williams,ie IRL,DF,LA Galaxy,29,1993,26,24,2154,23.9,0,1,1,0,0,0,7,0,1.6,1.6,1.4,3,24,79,7,0,0.04,0.04,0,0.04,0.07,0.06,0.12,0.07,0.12,Matches,c0a28fbd
756,Josh Williams,us USA,DF,Columbus Crew,33,1988,23,15,1427,15.9,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,2,31,1,0,0.06,0.06,0,0.06,0.02,0.03,0.06,0.02,0.06,Matches,06098bfc
757,Thomas Williams,us USA,DF,Orlando City,17,2004,4,2,181,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Matches,d46d1cdd
758,Eryk Williamson,us USA,MF,Portland Timbers,24,1997,22,13,1157,12.9,0,5,5,0,0,0,8,0,0.4,0.4,2.9,3.3,20,65,38,0,0.39,0.39,0,0.39,0.03,0.22,0.26,0.03,0.26,Matches,e0364352
759,Joe Willis,us USA,GK,Nashville,33,1988,32,32,2880,32,0,1,1,0,0,0,0,0,0,0,0.1,0.1,0,1,0,0,0.03,0.03,0,0.03,0,0,0,0,0,Matches,467f09c8
760,Danny Wilson,sct SCO,DF,Colorado Rapids,30,1991,26,25,2101,23.3,0,1,1,0,0,0,7,0,1.4,1.4,0.8,2.3,2,76,2,0,0.04,0.04,0,0.04,0.06,0.04,0.1,0.06,0.1,Matches,9cfe9254
761,Owen Wolff,us USA,FWMF,Austin,17,2004,24,11,913,10.1,0,1,1,0,0,0,1,0,0.3,0.3,1.6,2,18,32,67,0,0.1,0.1,0,0.1,0.03,0.16,0.2,0.03,0.2,Matches,9edc70d6
762,Tyler Wolff,us USA,FWMF,Atlanta Utd,18,2003,5,4,253,2.8,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,1,9,16,0,0,0,0,0,0.11,0.06,0.17,0.11,0.17,Matches,0985c282
763,Bobby Wood,us USA,FW,Real Salt Lake,29,1992,14,13,983,10.9,3,1,4,3,0,0,0,0,3.6,3.6,1.4,5.1,14,16,67,0.27,0.09,0.37,0.27,0.37,0.33,0.13,0.46,0.33,0.46,Matches,9853983f
764,Darren Yapi,us USA,FWMF,Colorado Rapids,17,2004,11,1,173,1.9,0,0,0,0,0,0,2,0,0.7,0.7,0.2,0.9,6,4,12,0,0,0,0,0,0.36,0.09,0.45,0.36,0.45,Matches,63abd734
765,William Yarbrough,us USA,GK,Colorado Rapids,32,1989,34,34,3014,33.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ec646e88
766,Dru Yearwood,eng ENG,MF,NY Red Bulls,21,2000,25,18,1546,17.2,2,1,3,2,0,0,6,1,1.1,1.1,0.9,2,28,98,15,0.12,0.06,0.17,0.12,0.17,0.07,0.05,0.12,0.07,0.12,Matches,2eb09121
767,Steffen Yeattes,ca CAN,DFMF,Toronto FC,22,2000,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches,bf89f7a7
