Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
569,Matt Polster,us USA,MF,New England,28,1993,28,24,2116,23.5,2,0,2,2,0,0,6,0,1.6,1.6,0.6,2.2,25,135,40,0.09,0,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,Matches,d1d418f8
570,Paxton Pomykal,us USA,MF,FC Dallas,22,1999,33,30,2432,27,0,2,2,0,0,0,6,0,1.1,1.1,2.1,3.2,64,145,86,0,0.07,0.07,0,0.07,0.04,0.08,0.12,0.04,0.12,Matches,c1f0fb45
571,Alvas Powell,jm JAM,DF,FC Cincinnati,27,1994,28,24,1930,21.4,0,3,3,0,0,0,4,0,1.2,1.2,1.9,3.2,54,60,86,0,0.14,0.14,0,0.14,0.06,0.09,0.15,0.06,0.15,Matches,2f91124d
572,Alejandro Pozuelo,es ESP,MFFW,Toronto FC,30,1991,16,16,1404,15.6,4,4,8,3,1,2,3,0,4.2,2.7,4.2,6.8,43,122,113,0.26,0.26,0.51,0.19,0.45,0.27,0.27,0.54,0.17,0.44,Matches,5e1280ff
573,Alejandro Pozuelo,es ESP,MFFW,Inter Miami,30,1991,12,12,968,10.8,2,4,6,2,0,0,1,1,1.3,1.3,3.7,5,28,79,71,0.19,0.37,0.56,0.19,0.56,0.12,0.35,0.47,0.12,0.47,Matches,5e1280ff
574,Jack Price,eng ENG,MF,Colorado Rapids,29,1992,17,14,1110,12.3,0,1,1,0,0,0,3,0,0,0,2.3,2.4,8,73,12,0,0.08,0.08,0,0.08,0,0.19,0.19,0,0.19,Matches,6217c92d
575,Ralph Priso-Mbongue,ca CAN,MF,Toronto FC,19,2002,10,4,278,3.1,1,0,1,1,0,0,2,1,0.2,0.2,0.1,0.3,3,23,3,0.32,0,0.32,0.32,0.32,0.05,0.04,0.09,0.05,0.09,Matches,acb3e899
576,Ralph Priso-Mbongue,ca CAN,MF,Colorado Rapids,19,2002,6,3,190,2.1,0,0,0,0,0,0,2,0,0,0,0.6,0.6,3,12,4,0,0,0,0,0,0,0.28,0.28,0,0.28,Matches,acb3e899
577,Kacper Przybyłko,pl POL,FW,Chicago Fire,28,1993,25,18,1603,17.8,5,1,6,5,0,0,3,0,6.5,6.5,2,8.5,20,45,110,0.28,0.06,0.34,0.28,0.34,0.36,0.11,0.48,0.36,0.48,Matches,4c53a714
578,Riqui Puig,es ESP,MF,LA Galaxy,22,1999,10,9,826,9.2,3,2,5,2,1,2,1,0,3,1.4,1.4,2.8,34,103,32,0.33,0.22,0.54,0.22,0.44,0.33,0.15,0.48,0.15,0.31,Matches,f090a37a
579,John Pulskamp,us USA,GK,Sporting KC,20,2001,12,11,1028,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6b306c92
580,Facundo Quignon,ar ARG,MF,FC Dallas,28,1993,25,14,1285,14.3,1,0,1,1,0,0,5,0,1.2,1.2,0.5,1.7,10,72,14,0.07,0,0.07,0.07,0.07,0.09,0.03,0.12,0.09,0.12,Matches,5b33b84c
581,Nelson Quiñones,co COL,FW,Houston Dynamo,19,2002,8,0,122,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,11,5,20,0,0,0,0,0,0.07,0.13,0.2,0.07,0.2,Matches,a295f0b3
582,Joshué Quiñónez,ec ECU,DF,FC Dallas,21,2000,7,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,c7305b1d
583,Darwin Quintero,co COL,MFFW,Houston Dynamo,34,1987,31,22,1765,19.6,8,3,11,7,1,1,4,0,6,5.2,6.7,11.9,57,185,104,0.41,0.15,0.56,0.36,0.51,0.3,0.34,0.64,0.26,0.6,Matches,0cc00553
584,Jairo Quinteros,bo BOL,DF,Inter Miami,20,2001,4,2,282,3.1,0,0,0,0,0,0,3,1,0.1,0.1,0,0.1,2,5,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches,8363a7e8
585,Romell Quioto,hn HON,FW,CF Montréal,30,1991,30,24,2045,22.7,15,5,20,11,4,5,5,1,14.8,10.9,4.4,15.3,60,35,224,0.66,0.22,0.88,0.48,0.7,0.65,0.19,0.85,0.48,0.67,Matches,122e850d
586,Jackson Ragen,us USA,DF,Seattle,23,1998,23,14,1391,15.5,0,0,0,0,0,0,6,1,0.7,0.7,0.2,0.9,3,36,0,0,0,0,0,0,0.04,0.01,0.06,0.04,0.06,Matches,a3d67f70
587,Brooklyn Raines,us USA,MF,Houston Dynamo,16,2005,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b4caa0c5
588,Ryan Raposo,ca CAN,DF,Vancouver,22,1999,30,17,1440,16,2,1,3,2,0,0,2,0,1.2,1.2,1.6,2.8,43,62,120,0.12,0.06,0.19,0.12,0.19,0.07,0.1,0.17,0.07,0.17,Matches,f006a9b3
589,Justin Rasmussen,us USA,DF,Portland Timbers,23,1998,9,7,646,7.2,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,11,21,29,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07,Matches,989ecf23
590,Rayan Raveloson,mg MAD,MF,LA Galaxy,25,1997,22,21,1781,19.8,3,2,5,3,0,0,4,0,4.3,4.3,1.3,5.5,37,99,63,0.15,0.1,0.25,0.15,0.25,0.22,0.06,0.28,0.21,0.28,Matches,fb3236a7
591,Matthew Real,us USA,MFDF,Philadelphia,22,1999,8,2,173,1.9,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,2,4,2,0.52,0,0.52,0.52,0.52,0.07,0.01,0.07,0.07,0.07,Matches,1c2c030a
592,Rodney Redes,py PAR,FWMF,Austin,21,2000,12,0,172,1.9,0,0,0,0,0,0,1,0,0.4,0.4,0,0.4,4,7,23,0,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches,426c3982
593,Benjamin Redzic,us USA,MFFW,FC Dallas,19,2002,6,0,67,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,6,6,0,0,0,0,0,0.39,0.06,0.45,0.39,0.45,Matches,ea8087aa
