Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
1,Jeff Attinella,us USA,GK,Portland Timbers,32,1988,3,2,170,1.9,2,1.06,5,4,80,1,0,1,0,0,1,1,0,0,0,Matches,4277b946
2,Brandon Austin,eng ENG,GK,Orlando City,22,1999,5,5,450,5,8,1.6,16,8,50,3,0,2,1,20,0,0,0,0,,Matches,5e253986
3,Luis Barraza,us USA,GK,NYCFC,24,1996,5,5,450,5,5,1,12,7,75,3,0,2,2,40,2,2,0,0,0,Matches,e6f22a6b
4,Joe Bendik,us USA,GK,Philadelphia,31,1989,3,2,212,2.4,3,1.27,8,5,87.5,1,0,1,0,0,2,2,0,0,0,Matches,c3e50b67
5,Jamal Blackman,eng ENG,GK,Los Angeles FC,27,1993,8,8,720,8,13,1.62,34,21,61.8,3,3,2,1,12.5,0,0,0,0,,Matches,dd26b605
6,Andre Blake,jm JAM,GK,Philadelphia,30,1990,26,26,2340,26,24,0.92,98,73,76.5,12,8,6,12,46.2,4,1,3,0,75,Matches,b3b21a11
7,Jonathan Bond,eng ENG,GK,LA Galaxy,27,1993,31,31,2790,31,50,1.61,169,121,73.4,12,8,11,4,12.9,6,5,0,1,0,Matches,c3a86eea
8,Alex Bono,us USA,GK,Toronto FC,26,1994,24,24,2160,24,44,1.83,124,82,68.5,6,7,11,2,8.3,5,5,0,0,0,Matches,aa28a396
9,Sebastian Breza,ca CAN,GK,CF Montréal,22,1998,8,8,720,8,8,1,29,21,75.9,3,2,3,2,25,1,1,0,0,0,Matches,52e7f812
10,Evan Bush,us USA,GK,Columbus Crew,34,1986,4,4,360,4,6,1.5,13,7,53.8,2,1,1,1,25,0,0,0,0,,Matches,69a57596
11,Steve Clark,us USA,GK,Portland Timbers,34,1986,24,24,2096,23.3,30,1.29,118,88,79.7,13,3,8,7,29.2,6,6,0,0,0,Matches,ed6320b7
12,Stefan Cleveland,us USA,GK,Seattle,26,1994,15,15,1350,15,17,1.13,46,29,69.6,6,5,4,3,20,3,3,0,0,0,Matches,873fdbdf
13,Carlos Coronel,br BRA,GK,NY Red Bulls,24,1996,34,34,3060,34,33,0.97,120,86,75,13,9,12,13,38.2,4,3,1,0,25,Matches,5c07e176
14,Maxime Crépeau,ca CAN,GK,Vancouver,26,1994,27,27,2430,27,31,1.15,126,96,77.8,10,10,7,6,22.2,4,3,1,0,25,Matches,ea42e480
15,Cody Cropper,us USA,GK,FC Cincinnati,27,1993,1,1,90,1,5,5,10,6,50,0,0,1,0,0,0,0,0,0,,Matches,aa133046
16,Mario Daniel Vega,ar ARG,GK,San Jose,36,1984,1,1,90,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,,Matches,6904a59a
17,Clément Diop,sn SEN,GK,CF Montréal,27,1993,8,8,720,8,9,1.13,32,23,78.1,2,3,3,3,37.5,2,2,0,0,0,Matches,0d5c0218
18,Matt Freese,us USA,GK,Philadelphia,22,1998,6,6,506,5.6,8,1.42,22,15,63.6,1,4,1,0,0,0,0,0,0,,Matches,2f49476c
19,Stefan Frei,ch SUI,GK,Seattle,34,1986,17,17,1530,17,16,0.94,59,44,72.9,9,4,4,4,23.5,1,0,0,1,,Matches,1d0a0f3e
20,Pedro Gallese,pe PER,GK,Orlando City,30,1990,22,22,1980,22,30,1.36,96,66,70.8,7,9,6,7,31.8,3,2,1,0,33.3,Matches,b76e1394
21,Adam Grinwis,us USA,GK,Orlando City,28,1992,2,2,180,2,5,2.5,7,4,28.6,1,0,1,0,0,0,0,0,0,,Matches,0d3f30b9
22,Brad Guzan,us USA,GK,Atlanta Utd,36,1984,29,29,2610,29,29,1,127,98,80.3,13,10,6,10,34.5,4,4,0,0,0,Matches,d899e3bf
23,Bill Hamid,us USA,GK,D.C. United,30,1990,21,21,1816,20.2,28,1.39,87,60,69,10,4,7,8,38.1,1,1,0,0,0,Matches,012fc030
24,Thomas Hasal,ca CAN,GK,Vancouver,21,1999,7,7,630,7,14,2,34,20,61.8,2,3,2,1,14.3,1,1,0,0,0,Matches,86bac87b
25,Clint Irwin,us USA,GK,Colorado Rapids,31,1989,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,,Matches,c1205184
26,Aljaž Ivačič,si SVN,GK,Portland Timbers,27,1993,5,4,411,4.6,12,2.63,33,21,63.6,1,1,2,0,0,0,0,0,0,,Matches,4d6e50d8
27,Sean Johnson,us USA,GK,NYCFC,31,1989,29,29,2610,29,31,1.07,114,84,73.7,11,9,9,9,31,1,1,0,0,0,Matches,c164335e
