,Player,POS,Club,GP,GS,MINS,G,A,YC,RC,SHTS,SOG,SOG%,SC%,Year,best_11,W,L,D,GD
2019,Jose Burciaga Jr.,D,KC,24,21,1875,1,1,2,1,15,6,40.0,6.7,2004,0,14.0,9.0,7.0,8.0
2020,Craig Waibel,D,SJ,23,23,2005,1,1,2,1,15,7,46.67,6.7,2004,0,9.0,10.0,11.0,6.0
2021,Jeff Parke,D,MET,28,27,2409,1,1,5,0,23,10,43.48,4.3,2004,0,11.0,12.0,7.0,-2.0
2022,Ricardo Clark,M,MET,26,19,1765,1,1,7,0,25,7,28.0,4.0,2004,0,11.0,12.0,7.0,-2.0
2023,Joselito Vaca,M,MET,22,20,1672,1,1,0,0,31,13,41.94,3.2,2004,0,11.0,12.0,7.0,-2.0
2024,Kenny Arena,D,MET,10,8,707,1,0,2,0,2,1,50.0,50.0,2004,0,11.0,12.0,7.0,-2.0
2025,Taylor Graham,D,KC,17,7,746,1,0,1,0,4,2,50.0,25.0,2004,0,14.0,9.0,7.0,8.0
2026,Craig Capano,M,CHI,13,4,436,1,0,0,0,5,2,40.0,20.0,2004,0,8.0,13.0,9.0,-8.0
2027,Mike Petke,D,DC,26,23,2027,1,0,6,0,7,3,42.86,14.3,2004,0,11.0,10.0,9.0,1.0
2028,Matt Behncke,D,DAL,17,14,1239,1,0,2,0,7,2,28.57,14.3,2004,0,10.0,14.0,6.0,-11.0
2029,Shavar Thomas,D,KC,25,22,1879,1,0,4,1,7,3,42.86,14.3,2004,0,14.0,9.0,7.0,8.0
2030,Arturo Alvarez,M,SJ,11,2,373,1,0,3,0,7,4,57.14,14.3,2004,0,9.0,10.0,11.0,6.0
2031,Troy Dayak,D,SJ,16,15,1367,1,0,5,1,8,4,50.0,12.5,2004,0,9.0,10.0,11.0,6.0
2032,Zizi Roberts,F,COL,5,4,363,1,0,0,0,10,1,10.0,10.0,2004,0,10.0,9.0,11.0,-3.0
2033,Jimmy Conrad,D,KC,29,29,2610,1,0,2,0,12,6,50.0,8.3,2004,1,14.0,9.0,7.0,8.0
2034,Steve Jolley,D,DAL,28,28,2428,1,0,4,0,13,6,46.15,7.7,2004,0,10.0,14.0,6.0,-11.0
2035,Igor Simutenkov,M,KC,9,5,455,1,0,0,0,16,5,31.25,6.3,2004,0,14.0,9.0,7.0,8.0
2036,Kelly Gray,D,CHI,25,23,2112,1,0,2,0,20,6,30.0,5.0,2004,0,8.0,13.0,9.0,-8.0
2037,Joe Franchino,M,NE,20,20,1693,1,0,3,1,21,7,33.33,4.8,2004,0,8.0,13.0,9.0,-1.0
2038,Francisco Gomez,M,KC,23,10,1091,1,0,0,0,30,10,33.33,3.3,2004,0,14.0,9.0,7.0,8.0
2039,Simon Elliott,M,CLB,27,26,2353,0,10,3,0,18,4,22.22,0.0,2004,0,12.0,5.0,13.0,8.0
2040,Richie Baker,M,NE,20,11,1047,0,6,2,0,14,7,50.0,0.0,2004,0,8.0,13.0,9.0,-1.0
2041,Cobi Jones,M,LA,23,20,1749,0,5,1,0,19,6,31.58,0.0,2004,0,11.0,9.0,10.0,2.0
2042,Antonio de la Torre,D,COL,28,28,2409,0,5,5,0,29,7,24.14,0.0,2004,0,10.0,9.0,11.0,-3.0
2043,Mark Lisi,M,MET,11,8,694,0,4,2,0,14,5,35.71,0.0,2004,0,11.0,12.0,7.0,-2.0
2044,Bobby Convey,M,DC,10,10,823,0,3,2,0,16,4,25.0,0.0,2004,0,11.0,10.0,9.0,1.0
2045,Shalrie Joseph,M,NE,23,23,2032,0,3,4,1,17,4,23.53,0.0,2004,0,8.0,13.0,9.0,-1.0
2046,DaMarcus Beasley,D,CHI,15,14,1290,0,3,1,0,23,6,26.09,0.0,2004,0,8.0,13.0,9.0,-8.0
2047,Ricky Lewis,D,COL,18,11,1141,0,2,0,0,1,0,0.0,0.0,2004,0,10.0,9.0,11.0,-3.0
2048,Scott Buete,M,CHI,13,8,700,0,2,3,1,2,0,0.0,0.0,2004,0,8.0,13.0,9.0,-8.0
2049,Logan Pause,M,CHI,21,19,1481,0,2,2,1,2,1,50.0,0.0,2004,0,8.0,13.0,9.0,-8.0
2050,Joe-Max Moore,F,NE,3,3,246,0,2,1,0,4,2,50.0,0.0,2004,0,8.0,13.0,9.0,-1.0
2051,Eric Denton,D,CLB,18,16,1310,0,2,4,0,4,2,50.0,0.0,2004,0,12.0,5.0,13.0,8.0
2052,Bryan Namoff,D,DC,27,27,2384,0,2,5,0,4,1,25.0,0.0,2004,0,11.0,10.0,9.0,1.0
2053,Craig Ziadie,D,MET,15,14,1289,0,2,4,1,4,0,0.0,0.0,2004,0,11.0,12.0,7.0,-2.0
2054,Chris Wingert,D,CLB,22,16,1487,0,2,4,0,11,5,45.45,0.0,2004,0,12.0,5.0,13.0,8.0
2055,Kerry Zavagnin,M,KC,24,24,2160,0,2,4,0,12,2,16.67,0.0,2004,1,14.0,9.0,7.0,8.0
2056,Chris Leitch,D,MET,29,29,2610,0,2,4,0,13,3,23.08,0.0,2004,0,11.0,12.0,7.0,-2.0
2057,Brian Kamler,M,NE,22,20,1653,0,2,2,0,14,6,42.86,0.0,2004,0,8.0,13.0,9.0,-1.0
2058,Evan Whitfield,D,CHI,23,19,1664,0,1,6,1,1,0,0.0,0.0,2004,0,8.0,13.0,9.0,-8.0
2059,Peter Vagenas,M,LA,12,10,912,0,1,3,0,2,0,0.0,0.0,2004,0,11.0,9.0,10.0,2.0
2060,Joey DiGiamarino,M,COL,8,5,412,0,1,2,0,2,0,0.0,0.0,2004,0,10.0,9.0,11.0,-3.0
2061,Ryan Cochrane,D,SJ,18,18,1459,0,1,3,1,3,3,100.0,0.0,2004,0,9.0,10.0,11.0,6.0
2062,Nick Garcia,D,KC,26,26,2295,0,1,6,0,4,1,25.0,0.0,2004,0,14.0,9.0,7.0,8.0
2063,C.J. Brown,D,CHI,24,24,2130,0,1,4,1,5,2,40.0,0.0,2004,0,8.0,13.0,9.0,-8.0
2064,Paul Broome,M,LA,22,20,1758,0,1,7,0,5,3,60.0,0.0,2004,0,11.0,9.0,10.0,2.0
2065,Chris Gbandi,D,DAL,23,20,1771,0,1,8,0,5,0,0.0,0.0,2004,0,10.0,14.0,6.0,-11.0
2066,Marshall Leonard,M,NE,25,22,1992,0,1,7,0,5,2,40.0,0.0,2004,0,8.0,13.0,9.0,-1.0
2067,Danny Szetela,M,CLB,8,4,373,0,1,3,0,6,1,16.67,0.0,2004,0,12.0,5.0,13.0,8.0
2068,Ritchie Kotschau,D,COL,28,26,2350,0,1,0,0,7,0,0.0,0.0,2004,0,10.0,9.0,11.0,-3.0
2069,Orlando Perez,D,CHI,17,13,1074,0,1,2,0,7,2,28.57,0.0,2004,0,8.0,13.0,9.0,-8.0
2070,Gilberto Flores,M,MET,7,7,451,0,1,1,0,7,1,14.29,0.0,2004,0,11.0,12.0,7.0,-2.0
2071,David Testo,M,CLB,16,4,441,0,1,1,0,7,4,57.14,0.0,2004,0,12.0,5.0,13.0,8.0
2072,Rey Angel Martinez,F,COL,7,3,313,0,1,1,0,9,2,22.22,0.0,2004,0,10.0,9.0,11.0,-3.0
2073,Marcelo Saragosa,M,LA,26,24,2122,0,1,6,0,9,1,11.11,0.0,2004,0,11.0,9.0,10.0,2.0
2074,Carey Talley,D,DAL,23,19,1687,0,1,6,0,11,7,63.64,0.0,2004,0,10.0,14.0,6.0,-11.0
2075,Jim Curtin,D,CHI,30,30,2700,0,1,5,0,12,7,58.33,0.0,2004,0,8.0,13.0,9.0,-8.0
2076,Cory Gibbs,D,DAL,21,21,1850,0,1,4,0,12,2,16.67,0.0,2004,0,10.0,14.0,6.0,-11.0
2077,Brian Carroll,M,DC,30,26,2435,0,1,4,0,12,3,25.0,0.0,2004,0,11.0,10.0,9.0,1.0
2078,Ian Russell,D,SJ,22,12,1087,0,1,2,0,13,6,46.15,0.0,2004,0,9.0,10.0,11.0,6.0
2079,Chad Marshall,D,CLB,28,27,2446,0,1,1,0,24,10,41.67,0.0,2004,0,12.0,5.0,13.0,8.0
2080,Erick Scott,F,CLB,6,2,142,0,0,0,0,0,0,,0.0,2004,0,12.0,5.0,13.0,8.0
2081,Michael Bradley,M,TOR,0,0,0,0,0,0,0,0,0,,0.0,2004,0,,,,
2082,Eddie Robinson,D,SJ,8,6,458,0,0,2,0,0,0,,0.0,2004,0,9.0,10.0,11.0,6.0
2083,Chris Roner,M,SJ,0,0,0,0,0,0,0,0,0,,0.0,2004,0,9.0,10.0,11.0,6.0
2084,Devin Barclay,F,CLB,3,1,72,0,0,0,0,0,0,,0.0,2004,0,12.0,5.0,13.0,8.0
2085,Steve Howey,D,NE,3,3,193,0,0,0,0,0,0,,0.0,2004,0,8.0,13.0,9.0,-1.0
2086,Nelson Akwari,D,CLB,19,16,1400,0,0,4,0,0,0,,0.0,2004,0,12.0,5.0,13.0,8.0
2087,Jesse Marsch,M,CHI,10,8,680,0,0,4,0,0,0,,0.0,2004,0,8.0,13.0,9.0,-8.0
2088,Eliseo Quintanilla,F,DC,0,0,0,0,0,0,0,0,0,,0.0,2004,0,11.0,10.0,9.0,1.0
2089,Seth Stammler,M,MET,1,0,1,0,0,0,0,0,0,,0.0,2004,0,11.0,12.0,7.0,-2.0
2090,Kevin Ara,M,DC,6,1,113,0,0,1,0,0,0,,0.0,2004,0,11.0,10.0,9.0,1.0
2091,Adrian Cann,D,COL,2,0,11,0,0,0,0,0,0,,0.0,2004,0,10.0,9.0,11.0,-3.0
2092,Roger Levesque,M,SJ,0,0,0,0,0,0,0,0,0,,0.0,2004,0,9.0,10.0,11.0,6.0
2093,David Wagenfuhr,D,DAL,0,0,0,0,0,0,0,0,0,,0.0,2004,0,10.0,14.0,6.0,-11.0
2094,Ty Maurin,M,DAL,0,0,0,0,0,0,0,0,0,,0.0,2004,0,10.0,14.0,6.0,-11.0
2095,Vuk Rasovic,D,KC,1,1,45,0,0,0,0,0,0,,0.0,2004,0,14.0,9.0,7.0,8.0
2096,Sumed Ibrahim,M,CHI,3,1,82,0,0,0,0,0,0,,0.0,2004,0,8.0,13.0,9.0,-8.0
2097,Bobby Thompson,M,NE,0,0,0,0,0,0,0,0,0,,0.0,2004,0,8.0,13.0,9.0,-1.0
2098,Jason Thompson,F,DAL,2,0,61,0,0,0,0,0,0,,0.0,2004,0,10.0,14.0,6.0,-11.0
2099,Scot Thompson,D,LA,1,0,1,0,0,0,0,0,0,,0.0,2004,0,11.0,9.0,10.0,2.0
2100,Brian Roberts,D,KC,0,0,0,0,0,0,0,0,0,,0.0,2004,0,14.0,9.0,7.0,8.0
2101,Tighe Dombrowski,M,SJ,4,0,44,0,0,0,0,0,0,,0.0,2004,0,9.0,10.0,11.0,6.0
2102,Michael Erush,M,COL,0,0,0,0,0,0,0,0,0,,0.0,2004,0,10.0,9.0,11.0,-3.0
2103,David de la Torre,D,COL,0,0,0,0,0,0,0,0,0,,0.0,2004,0,10.0,9.0,11.0,-3.0
2104,G.R. Cannon,D,DC,1,0,35,0,0,0,0,0,0,,0.0,2004,0,11.0,10.0,9.0,1.0
2105,Denny Clanton,D,CHI,10,6,499,0,0,1,0,0,0,,0.0,2004,0,8.0,13.0,9.0,-8.0
2106,Perek Belleh,F,NE,0,0,0,0,0,0,0,0,0,,0.0,2004,0,8.0,13.0,9.0,-1.0
2107,Jake Traeger,D,CLB,1,0,3,0,0,0,0,0,0,,0.0,2004,0,12.0,5.0,13.0,8.0
2108,Luke Vercollone,M,NE,2,0,2,0,0,0,0,0,0,,0.0,2004,0,8.0,13.0,9.0,-1.0
2109,Tim Lawson,M,DC,0,0,0,0,0,0,0,0,0,,0.0,2004,0,11.0,10.0,9.0,1.0
2110,Jamal Sutton,F,CLB,1,0,4,0,0,0,0,0,0,,0.0,2004,0,12.0,5.0,13.0,8.0
2111,Nana Kuffour,F,DC,5,1,90,0,0,0,0,1,0,0.0,0.0,2004,0,11.0,10.0,9.0,1.0
2112,Josh Gardner,M,LA,2,0,25,0,0,0,0,1,0,0.0,0.0,2004,0,11.0,9.0,10.0,2.0
2113,Chris Aloisi,D,LA,4,3,280,0,0,3,0,1,0,0.0,0.0,2004,0,11.0,9.0,10.0,2.0
2114,Dante Washington,F,CLB,1,0,19,0,0,0,0,1,1,100.0,0.0,2004,0,12.0,5.0,13.0,8.0
2115,Brandon Prideaux,D,DC,23,16,1455,0,0,1,0,1,0,0.0,0.0,2004,0,11.0,10.0,9.0,1.0
2116,Daouda Kante,D,NE,4,3,220,0,0,1,0,1,0,0.0,0.0,2004,0,8.0,13.0,9.0,-1.0
2117,Rusty Pierce,D,NE,14,13,1179,0,0,3,0,1,0,0.0,0.0,2004,0,8.0,13.0,9.0,-1.0
2118,Hong Myung Bo,D,LA,13,9,856,0,0,2,0,1,1,100.0,0.0,2004,0,11.0,9.0,10.0,2.0
2119,Chris Carrieri,F,CHI,1,0,34,0,0,0,0,1,0,0.0,0.0,2004,0,8.0,13.0,9.0,-8.0
2120,Santino Quaranta,M,DC,1,0,23,0,0,1,0,1,0,0.0,0.0,2004,0,11.0,10.0,9.0,1.0
2121,Zach Kingsley,M,COL,2,1,78,0,0,0,0,1,0,0.0,0.0,2004,0,10.0,9.0,11.0,-3.0
2122,Robin Fraser,D,CLB,28,28,2520,0,0,3,1,1,0,0.0,0.0,2004,1,12.0,5.0,13.0,8.0
2123,Wes Hart,D,SJ,18,13,1178,0,0,3,0,1,0,0.0,0.0,2004,0,9.0,10.0,11.0,6.0
2124,Jordan Stone,M,DAL,5,1,143,0,0,0,0,1,0,0.0,0.0,2004,0,10.0,14.0,6.0,-11.0
2125,Khari Stephenson,M,KC,3,0,43,0,0,1,0,1,0,0.0,0.0,2004,0,14.0,9.0,7.0,8.0
2126,Preki,M,KC,2,1,89,0,0,0,0,2,0,0.0,0.0,2004,0,14.0,9.0,7.0,8.0
2127,Leonard Griffin,D,CHI,9,3,329,0,0,0,0,2,1,50.0,0.0,2004,0,8.0,13.0,9.0,-8.0
2128,Clarence Goodson,D,DAL,5,2,247,0,0,2,0,2,0,0.0,0.0,2004,0,10.0,14.0,6.0,-11.0
2129,Tim Regan,D,MET,12,7,577,0,0,2,0,3,1,33.33,0.0,2004,0,11.0,12.0,7.0,-2.0
2130,David Castellanos,F,COL,3,1,132,0,0,1,0,3,1,33.33,0.0,2004,0,10.0,9.0,11.0,-3.0
2131,Justin Detter,F,KC,6,2,161,0,0,0,0,3,2,66.67,0.0,2004,0,14.0,9.0,7.0,8.0
2132,Guillermo Gonzalez,M,LA,6,1,111,0,0,1,0,3,0,0.0,0.0,2004,0,11.0,9.0,10.0,2.0
2133,Stephen Herdsman,D,CLB,8,8,675,0,0,1,0,3,0,0.0,0.0,2004,0,12.0,5.0,13.0,8.0
2134,Danny Califf,D,LA,13,10,853,0,0,2,0,3,2,66.67,0.0,2004,0,11.0,9.0,10.0,2.0
2135,Ryan Suarez,D,LA,26,25,2154,0,0,8,0,4,3,75.0,0.0,2004,0,11.0,9.0,10.0,2.0
2136,Tenywa Bonseu,D,MET,14,13,1163,0,0,4,0,4,1,25.0,0.0,2004,0,11.0,12.0,7.0,-2.0
2137,Avery John,D,NE,21,19,1806,0,0,7,0,4,2,50.0,0.0,2004,0,8.0,13.0,9.0,-1.0
2138,Pablo Mastroeni,M,COL,17,17,1467,0,0,6,0,4,2,50.0,0.0,2004,0,10.0,9.0,11.0,-3.0
2139,Alexandre Boucicaut,M,CHI,5,1,162,0,0,0,0,4,1,25.0,0.0,2004,0,8.0,13.0,9.0,-8.0
2140,Jamil Walker,M,SJ,10,2,236,0,0,0,0,4,0,0.0,0.0,2004,0,9.0,10.0,11.0,6.0
2141,Alan Gordon,F,LA,3,2,142,0,0,0,0,4,2,50.0,0.0,2004,0,11.0,9.0,10.0,2.0
2142,Brian Maisonneuve,M,CLB,9,5,427,0,0,4,0,6,2,33.33,0.0,2004,0,12.0,5.0,13.0,8.0
2143,Philip Salyer,D,DAL,17,16,1407,0,0,3,0,6,1,16.67,0.0,2004,0,10.0,14.0,6.0,-11.0
2144,Ezra Hendrickson,D,DC,12,8,785,0,0,2,0,6,3,50.0,0.0,2004,0,11.0,10.0,9.0,1.0
2145,Todd Dunivant,D,SJ,16,13,1210,0,0,1,0,7,3,42.86,0.0,2004,0,9.0,10.0,11.0,6.0
2146,Ramon Nunez,M,DAL,8,0,103,0,0,0,0,7,0,0.0,0.0,2004,0,10.0,14.0,6.0,-11.0
2147,David Stokes,D,DC,11,3,408,0,0,1,0,7,1,14.29,0.0,2004,0,11.0,10.0,9.0,1.0
2148,Gary Sullivan,D,COL,16,4,335,0,0,1,0,8,3,37.5,0.0,2004,0,10.0,9.0,11.0,-3.0
2149,Daryl Powell,M,COL,13,12,1013,0,0,4,1,8,1,12.5,0.0,2004,0,10.0,9.0,11.0,-3.0
2150,Milton Reyes,D,DAL,12,9,827,0,0,4,0,9,1,11.11,0.0,2004,0,10.0,14.0,6.0,-11.0
2151,Eddie Pope,D,MET,22,22,1928,0,0,1,0,10,5,50.0,0.0,2004,1,11.0,12.0,7.0,-2.0
2152,Pablo Brenes,M,MET,14,5,705,0,0,1,0,13,4,30.77,0.0,2004,0,11.0,12.0,7.0,-2.0
2153,Diego Walsh,M,KC,15,11,687,0,0,0,0,16,7,43.75,0.0,2004,0,14.0,9.0,7.0,8.0
2154,Alex Zotinca,D,KC,25,20,1779,0,0,6,1,17,9,52.94,0.0,2004,0,14.0,9.0,7.0,8.0
2155,Taylor Twellman,F,NE,25,25,2226,17,7,1,0,82,51,62.2,20.7,2005,1,17.0,7.0,8.0,18.0
2156,Jaime Moreno,F,DC,29,28,2445,16,7,2,2,77,46,59.74,20.8,2005,1,16.0,10.0,6.0,21.0
2157,Landon Donovan,M,LA,22,20,1886,12,10,3,0,49,32,65.31,24.5,2005,0,13.0,13.0,6.0,-1.0
2158,Jeff Cunningham,F,COL,26,17,1667,12,3,4,0,55,31,56.36,21.8,2005,0,13.0,13.0,6.0,3.0
2159,Amado Guevara,M,MET,26,26,2284,11,11,9,1,67,31,46.27,16.4,2005,0,12.0,9.0,11.0,4.0
2160,Christian Gomez,M,DC,31,30,2419,11,9,6,0,64,37,57.81,17.2,2005,1,16.0,10.0,6.0,21.0
2161,Herculez Gomez,F,LA,22,16,1506,11,2,5,0,54,25,46.3,20.4,2005,0,13.0,13.0,6.0,-1.0
2162,Carlos Ruiz,F,DAL,19,18,1549,11,2,2,0,63,30,47.62,17.5,2005,0,13.0,10.0,9.0,8.0
2163,Josh Wolff,F,KC,22,22,1910,10,10,0,0,51,29,56.86,19.6,2005,0,11.0,9.0,12.0,8.0
2164,Clint Dempsey,M,NE,26,26,2319,10,9,7,0,60,27,45.0,16.7,2005,1,17.0,7.0,8.0,18.0
2165,Youri Djorkaeff,F,MET,24,24,1986,10,7,3,0,76,33,43.42,13.2,2005,0,12.0,9.0,11.0,4.0
2166,Dwayne De Rosario,M,SJ,28,26,2375,9,13,4,0,70,34,48.57,12.9,2005,1,18.0,4.0,10.0,22.0
2167,Jason Kreis,M,RSL,24,24,2160,9,4,6,0,65,31,47.69,13.8,2005,0,5.0,22.0,5.0,-35.0
2168,Scott Sealy,F,KC,28,20,1668,9,2,0,0,31,20,64.52,29.0,2005,0,11.0,9.0,12.0,8.0
2169,Edson Buddle,F,CLB,23,21,1762,9,2,0,0,70,24,34.29,12.9,2005,0,11.0,16.0,5.0,-11.0
2170,Pat Noonan,F,NE,21,21,1843,8,7,4,0,57,29,50.88,14.0,2005,0,17.0,7.0,8.0,18.0
2171,Chris Rolfe,F,CHI,29,21,1941,8,5,1,0,61,32,52.46,13.1,2005,0,15.0,13.0,4.0,-1.0
2172,Eddie Gaven,M,MET,28,26,2257,8,4,0,0,34,19,55.88,23.5,2005,0,12.0,9.0,11.0,4.0
2173,Alejandro Moreno,F,SJ,31,24,2167,8,4,3,0,42,20,47.62,19.0,2005,0,18.0,4.0,10.0,22.0
2174,Chris Klein,M,KC,31,31,2765,7,9,0,0,84,34,40.48,8.3,2005,0,11.0,9.0,12.0,8.0
2175,Mark Chung,M,COL,30,28,2487,7,7,2,0,39,20,51.28,17.9,2005,0,13.0,13.0,6.0,3.0
2176,Peguero Jean Philippe,F,COL,26,20,1839,7,6,6,1,48,20,41.67,14.6,2005,0,13.0,13.0,6.0,3.0
2177,Ante Razov,F,CLB,25,21,1935,7,6,2,1,62,22,35.48,11.3,2005,0,11.0,16.0,5.0,-11.0
2178,Brian Ching,F,SJ,16,11,990,7,5,3,0,25,17,68.0,28.0,2005,0,18.0,4.0,10.0,22.0
2179,Roberto Mina,F,DAL,21,15,1269,7,4,2,0,35,13,37.14,20.0,2005,0,13.0,10.0,9.0,8.0
2180,Sasha Victorine,M,KC,30,30,2658,7,4,0,0,35,15,42.86,20.0,2005,0,11.0,9.0,12.0,8.0
2181,Nate Jaqua,F,CHI,18,15,1361,7,3,4,0,45,24,53.33,15.6,2005,0,15.0,13.0,4.0,-1.0
2182,Sergio Galvan Rey,F,MET,27,16,1596,7,0,2,0,44,23,52.27,15.9,2005,0,12.0,9.0,11.0,4.0
2183,Ronnie O'Brien,M,DAL,28,28,2512,6,12,8,0,83,37,44.58,7.2,2005,0,13.0,10.0,9.0,8.0
2184,Ronald Cerritos,F,SJ,30,28,2308,6,9,0,0,50,29,58.0,12.0,2005,0,18.0,4.0,10.0,22.0
2185,Thiago,M,CHI,27,25,2220,6,7,3,0,45,20,44.44,13.3,2005,0,15.0,13.0,4.0,-1.0
2186,Shalrie Joseph,M,NE,31,31,2788,6,5,8,0,32,18,56.25,18.8,2005,1,17.0,7.0,8.0,18.0
2187,Mike Magee,M,MET,29,21,1830,5,5,2,0,27,13,48.15,18.5,2005,0,12.0,9.0,11.0,4.0
2188,Santino Quaranta,M,DC,18,13,1185,5,5,2,0,30,17,56.67,16.7,2005,0,16.0,10.0,6.0,21.0
2189,Jovan Kirovski,M,COL,31,28,2334,5,5,4,0,62,25,40.32,8.1,2005,0,13.0,13.0,6.0,3.0
2190,John Wolyniec,F,CLB,25,13,1411,5,4,0,0,27,13,48.15,18.5,2005,0,11.0,16.0,5.0,-11.0
2191,Peter Vagenas,M,LA,29,28,2477,5,4,3,0,29,12,41.38,17.2,2005,0,13.0,13.0,6.0,-1.0
2192,Alain Nkong,M,COL,28,20,1731,5,4,9,0,48,18,37.5,10.4,2005,0,13.0,13.0,6.0,3.0
2193,Davy Arnaud,M,KC,31,28,2525,5,4,6,0,64,25,39.06,7.8,2005,0,11.0,9.0,12.0,8.0
2194,Andy Williams,M,RSL,26,26,2102,5,3,5,1,46,18,39.13,10.9,2005,0,5.0,22.0,5.0,-35.0
2195,Ramon Nunez,M,DAL,21,12,1139,5,3,1,0,49,22,44.9,10.2,2005,0,13.0,10.0,9.0,8.0
2196,Jesse Marsch,M,CHI,28,22,1945,5,2,4,0,25,15,60.0,20.0,2005,0,15.0,13.0,4.0,-1.0
2197,Eddie Johnson,F,DAL,15,13,1180,5,2,1,0,30,12,40.0,16.7,2005,0,13.0,10.0,9.0,8.0
2198,Freddy Adu,F,DC,25,16,1486,4,6,4,0,37,16,43.24,10.8,2005,0,16.0,10.0,6.0,21.0
2199,Joshua Gros,M,DC,30,29,2563,4,4,6,1,29,12,41.38,13.8,2005,0,16.0,10.0,6.0,21.0
2200,Hector Cuadros,M,CHV,26,18,1691,4,4,6,0,30,9,30.0,13.3,2005,0,4.0,22.0,6.0,-36.0
2201,Dema Kovalenko,M,DC,26,23,2056,4,4,3,1,41,13,31.71,9.8,2005,0,16.0,10.0,6.0,21.0
2202,Cornell Glen,F,CLB,22,13,1238,4,4,5,1,52,20,38.46,7.7,2005,0,11.0,16.0,5.0,-11.0
2203,Dedi Ben Dayan,M,COL,8,3,358,4,2,0,0,12,8,66.67,33.3,2005,0,13.0,13.0,6.0,3.0
2204,Knox Cameron,F,CLB,20,9,803,4,1,0,0,15,7,46.67,26.7,2005,0,11.0,16.0,5.0,-11.0
2205,Abe Thompson,F,DAL,18,6,671,4,0,0,0,19,10,52.63,21.1,2005,0,13.0,10.0,9.0,8.0
2206,Jack Jewsbury,M,KC,29,6,993,4,0,1,0,26,14,53.85,15.4,2005,0,11.0,9.0,12.0,8.0
2207,Chris Henderson,M,CLB,29,29,2428,3,8,2,0,33,11,33.33,9.1,2005,0,11.0,16.0,5.0,-11.0
2208,Justin Mapp,M,CHI,29,28,2356,3,8,3,0,48,19,39.58,6.3,2005,0,15.0,13.0,4.0,-1.0
2209,Brian Mullan,D,SJ,25,23,1996,3,6,4,0,22,11,50.0,13.6,2005,0,18.0,4.0,10.0,22.0
2210,Cobi Jones,M,LA,31,27,2393,3,6,3,0,28,15,53.57,10.7,2005,0,13.0,13.0,6.0,-1.0
2211,Clint Mathis,M,RSL,27,27,2123,3,4,7,1,45,17,37.78,6.7,2005,0,5.0,22.0,5.0,-35.0
2212,Gonzalo Segares,D,CHI,21,21,1864,3,2,5,0,10,5,50.0,30.0,2005,0,15.0,13.0,4.0,-1.0
2213,Lubos Reiter,F,CHI,14,9,771,3,2,1,0,22,16,72.73,13.6,2005,0,15.0,13.0,4.0,-1.0
2214,Khano Smith,M,NE,23,8,925,3,2,4,0,27,8,29.63,11.1,2005,0,17.0,7.0,8.0,18.0
2215,Ricardo Clark,M,SJ,30,28,2491,3,2,6,0,31,6,19.35,9.7,2005,0,18.0,4.0,10.0,22.0
2216,Jordan Cila,F,RSL,12,8,645,3,1,1,0,6,4,66.67,50.0,2005,0,5.0,22.0,5.0,-35.0
2217,Bobby Boswell,D,DC,27,26,2343,3,1,6,0,12,6,50.0,25.0,2005,0,16.0,10.0,6.0,21.0
2218,Aaron Pitchkolan,D,DAL,20,15,1442,3,1,3,0,16,7,43.75,18.8,2005,0,13.0,10.0,9.0,8.0
2219,Juan Francisco Palencia,F,CHV,9,9,810,3,1,4,0,28,15,53.57,10.7,2005,0,4.0,22.0,6.0,-36.0
2220,Ezra Hendrickson,D,CHV,31,31,2745,3,1,4,0,30,10,33.33,10.0,2005,0,4.0,22.0,6.0,-36.0
2221,Isaac Romo,F,CHV,25,11,1187,3,1,4,0,33,15,45.45,9.1,2005,0,4.0,22.0,6.0,-36.0
2222,Thiago Martins,F,CHV,22,21,1779,3,1,5,0,46,16,34.78,6.5,2005,0,4.0,22.0,6.0,-36.0
2223,Frankie Hejduk,D,CLB,18,15,1396,3,0,5,0,16,7,43.75,18.8,2005,0,11.0,16.0,5.0,-11.0
2224,Brad Davis,M,SJ,18,16,1408,2,8,4,0,23,11,47.83,8.7,2005,0,18.0,4.0,10.0,22.0
2225,Bobby Rhine,M,DAL,28,27,2438,2,8,4,0,25,9,36.0,8.0,2005,0,13.0,10.0,9.0,8.0
2226,Jamil Walker,M,DC,22,6,729,2,7,0,0,21,11,52.38,9.5,2005,0,16.0,10.0,6.0,21.0
2227,Ramon Ramirez,M,CHV,31,31,2573,2,6,7,0,25,8,32.0,8.0,2005,0,4.0,22.0,6.0,-36.0
2228,Ivan Guerrero,M,CHI,26,26,2314,2,5,1,0,15,3,20.0,13.3,2005,0,15.0,13.0,4.0,-1.0
2229,Andy Dorman,M,NE,30,19,1954,2,5,4,0,21,9,42.86,9.5,2005,0,17.0,7.0,8.0,18.0
2230,Jose Cancela,M,NE,25,22,1642,2,5,0,0,23,11,47.83,8.7,2005,0,17.0,7.0,8.0,18.0
2231,Ben Olsen,M,DC,23,22,1874,2,4,7,0,23,12,52.17,8.7,2005,0,16.0,10.0,6.0,21.0
2232,Arturo Alvarez,M,DAL,24,15,1282,2,4,2,0,31,14,45.16,6.5,2005,0,13.0,10.0,9.0,8.0
2233,Jose Burciaga Jr.,D,KC,31,31,2667,2,4,9,0,36,10,27.78,5.6,2005,0,11.0,9.0,12.0,8.0
