,Player,POS,Club,GP,GS,MINS,G,A,YC,RC,SHTS,SOG,SOG%,SC%,Year,best_11,W,L,D,GD
534,Jesse Marsch,M,CHI,29,25,2199,2,3,4,0,23,10,43.48,8.7,1998,0,,,,
535,Steve Jolley,D,LA,28,23,2093,2,2,4,0,8,5,62.5,25.0,1998,0,,,,
536,Todd Yeagley,M,CLB,27,22,1957,2,2,5,0,12,5,41.67,16.7,1998,0,,,,
537,Wade Barrett,D,SJ,26,22,1921,2,2,2,1,12,6,50.0,16.7,1998,0,,,,
538,Ted Eck,M,DAL,31,28,2331,2,2,5,1,34,10,29.41,5.9,1998,0,,,,
539,Richard Gough,D,SJ,19,19,1609,2,1,1,0,12,8,66.67,16.7,1998,0,,,,
540,Jan Eriksson,D,TB,29,28,2342,2,1,4,0,19,7,36.84,10.5,1998,0,,,,
541,C.J. Brown,D,CHI,28,28,2470,2,0,4,1,4,3,75.0,50.0,1998,0,,,,
542,Alexi Lalas,D,MET,25,25,2250,2,0,7,0,12,5,41.67,16.7,1998,0,,,,
543,Andy Williams,M,CLB,13,11,976,1,12,0,0,30,12,40.0,3.3,1998,0,,,,
544,Chris Armas,M,CHI,31,31,2790,1,10,3,0,25,10,40.0,4.0,1998,1,,,,
545,Billy Thompson,M,CLB,29,24,2190,1,8,2,0,17,8,47.06,5.9,1998,0,,,,
546,Mike Burns,M,NE,23,23,2025,1,8,3,1,18,5,27.78,5.6,1998,0,,,,
547,Jorge Salcedo,M,CHI,26,21,1909,1,7,3,0,18,6,33.33,5.6,1998,0,,,,
548,Marcelo Vega,M,MET,17,13,1055,1,6,5,1,39,19,48.72,2.6,1998,0,,,,
549,Chris Houser,D,TB,24,22,2005,1,5,7,1,6,2,33.33,16.7,1998,0,,,,
550,Tab Ramos,M,MET,17,16,1455,1,5,2,1,19,8,42.11,5.3,1998,0,,,,
551,Leo Cullen,M,MIA,31,30,2680,1,4,1,0,6,4,66.67,16.7,1998,0,,,,
552,Jeff Agoos,D,DC,21,20,1780,1,4,1,1,13,6,46.15,7.7,1998,0,,,,
553,Wellington Sanchez,M,LA,13,9,698,1,4,5,0,15,8,53.33,6.7,1998,0,,,,
554,Temoc Suarez,M,DAL,20,10,831,1,4,1,0,16,7,43.75,6.3,1998,0,,,,
555,Paul Keegan,F,NE,20,7,892,1,4,1,0,17,6,35.29,5.9,1998,0,,,,
556,Brian Kamler,M,DC,22,20,1743,1,4,1,0,23,9,39.13,4.3,1998,0,,,,
557,Scott Vermillion,D,KC,22,22,1955,1,3,2,0,10,6,60.0,10.0,1998,0,,,,
558,Mike Duhaney,D,MET,30,26,2361,1,3,5,1,15,5,33.33,6.7,1998,0,,,,
559,Marcelo Carrera,F,CLB,16,5,595,1,3,1,0,17,6,35.29,5.9,1998,0,,,,
560,Brian West,M,CLB,13,4,478,1,2,1,0,10,4,40.0,10.0,1998,0,,,,
561,Richard Farrer,D,DAL,28,24,2119,1,2,3,0,11,4,36.36,9.1,1998,0,,,,
562,Richard Goulooze,D,NE,29,29,2529,1,2,2,1,12,2,16.67,8.3,1998,0,,,,
563,Thomas Dooley,D,CLB,23,23,2008,1,2,2,0,21,9,42.86,4.8,1998,1,,,,
564,John Doyle,D,SJ,28,27,2431,1,2,6,0,23,13,56.52,4.3,1998,0,,,,
565,Paul Caligiuri,D,LA,18,14,1293,1,1,4,0,5,1,20.0,20.0,1998,0,,,,
566,Frank Yallop,D,TB,32,29,2703,1,1,3,0,11,3,27.27,9.1,1998,0,,,,
567,Mike Petke,D,MET,27,25,2234,1,1,1,0,17,4,23.53,5.9,1998,0,,,,
568,Steve Trittschuh,D,COL,30,30,2700,1,1,10,0,25,9,36.0,4.0,1998,0,,,,
569,Mike Lapper,D,CLB,7,7,560,1,0,1,1,4,1,25.0,25.0,1998,0,,,,
570,Jose Vasquez,D,LA,8,2,291,1,0,1,0,4,3,75.0,25.0,1998,0,,,,
571,Eddie Pope,D,DC,20,20,1754,1,0,4,1,6,2,33.33,16.7,1998,1,,,,
572,Pete Marino,F,KC,11,1,276,1,0,0,0,8,3,37.5,12.5,1998,0,,,,
573,Roger Thomas,M,MIA,5,4,310,1,0,2,0,9,4,44.44,11.1,1998,0,,,,
574,Jorge Flores,M,DAL,14,8,777,1,0,4,0,11,4,36.36,9.1,1998,0,,,,
575,Tyrone Marshall,D,COL,9,3,349,1,0,0,0,13,6,46.15,7.7,1998,0,,,,
576,Ansil Elcock,D,CLB,28,27,2409,0,8,4,0,12,4,33.33,0.0,1998,0,,,,
577,Chris Martinez,D,COL,28,28,2358,0,7,3,0,5,2,40.0,0.0,1998,0,,,,
