,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,best_11
447,Preston Burpo,CHV,G,3,3,270,16,13,3,1.0,0/0,1,1,1,1.0,33.3,81.3,2007,reg,0
448,Jon Busch,CHI,G,3,3,270,20,15,5,1.67,2-Feb,1,2,0,1.0,33.3,75.0,2007,reg,0
449,Chris Seitz,DC,G,3,3,270,14,6,8,2.67,0/0,0,2,1,0.0,0.0,42.9,2007,reg,0
450,Sam Reynolds,TOR,G,2,2,175,11,9,2,1.0,1-Jan,1,0,1,0.0,50.0,81.8,2007,reg,0
451,Zach Thornton,COL,G,1,0,32,3,1,2,2.0,0/0,0,1,0,0.0,0.0,33.3,2007,reg,0
452,Jay Nolly,DC,G,1,1,90,9,7,2,2.0,0/0,0,1,0,0.0,0.0,77.8,2007,reg,0
453,Steve Cronin,LA,G,1,1,90,8,6,2,2.0,0/0,0,1,0,0.0,0.0,75.0,2007,reg,0
454,David Monsalve,TOR,G,1,1,90,10,7,3,3.0,0/0,0,1,0,0.0,0.0,70.0,2007,reg,0
455,Justin Myers,CHV,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
456,Matt Wideman,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
457,Lance Friesz,LA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
458,Kyle Reynish,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
459,Jordan James,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
460,Nick Noble,CHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
461,Bill Gaudette,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
462,Justin Hughes,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
463,Shawn Crowe,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
464,Eric Kronberg,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
465,Chris Konopka,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
466,Boris Pardo,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
467,Brad Knighton,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
468,Danny Cepero,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
469,Tomer Chencinski,TOR,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
470,Doug Warren,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2007,reg,0
471,Nick Rimando,RSL,G,30,30,2700,140,96,39,1.3,4-Apr,10,10,10,8.0,33.3,68.6,2008,reg,0
472,Jon Busch,CHI,G,30,30,2700,156,122,33,1.1,0/1,13,10,7,10.0,43.3,78.2,2008,reg,1
473,Kevin Hartman,KC,G,30,30,2700,162,117,39,1.3,3-Mar,11,10,9,10.0,36.7,72.2,2008,reg,0
474,Joe Cannon,SJ,G,30,30,2700,166,124,38,1.27,5-Mar,8,13,9,9.0,26.7,74.7,2008,reg,0
475,William Hesmer,CLB,G,29,29,2610,132,97,33,1.14,5-Feb,17,6,6,10.0,58.6,73.5,2008,reg,0
476,Matt Reis,NE,G,28,28,2485,150,107,38,1.36,4-Mar,11,11,6,6.0,39.3,71.3,2008,reg,0
477,Jon Conway,NY,G,28,28,2520,146,98,42,1.5,3-Feb,9,10,9,7.0,32.1,67.1,2008,reg,0
478,Dario Sala,DAL,G,28,28,2520,131,92,37,1.32,1-Jan,8,8,12,7.0,28.6,70.2,2008,reg,0
479,Pat Onstad,HOU,G,24,24,2098,105,76,24,1.0,0/1,10,4,9,7.0,41.7,72.4,2008,reg,0
480,Greg Sutton,TOR,G,24,24,2160,160,116,35,1.46,7-Jun,7,10,7,6.0,29.2,72.5,2008,reg,0
481,Steve Cronin,LA,G,22,22,1935,141,92,44,2.0,3-Mar,6,9,6,2.0,27.3,65.2,2008,reg,0
482,Zach Wells,DC,G,17,17,1530,85,56,28,1.65,0/0,8,8,1,1.0,47.1,65.9,2008,reg,0
483,Bouna Coundoul,COL,G,17,17,1530,77,54,21,1.24,3-Mar,6,8,3,5.0,35.3,70.1,2008,reg,0
484,Brad Guzan,CHV,G,15,15,1350,71,48,20,1.33,1-Jan,6,5,4,4.0,40.0,67.6,2008,reg,0
485,Preston Burpo,COL,G,13,13,1170,63,37,24,1.85,2-Jan,5,6,2,3.0,38.5,58.7,2008,reg,0
486,Louis Crayton,DC,G,12,12,1080,64,43,19,1.58,0/0,3,6,3,4.0,25.0,67.2,2008,reg,0
487,Dan Kennedy,CHV,G,9,8,699,33,23,8,1.0,2-Jan,4,3,0,3.0,44.4,69.7,2008,reg,0
488,Zach Thornton,CHV,G,8,7,651,32,16,13,1.86,1-Jan,2,3,3,1.0,25.0,50.0,2008,reg,0
489,Tony Caig,HOU,G,7,6,602,36,24,8,1.33,0/0,3,1,3,3.0,42.9,66.7,2008,reg,0
490,Josh Wicks,LA,G,6,5,495,33,20,12,2.4,0/0,1,2,3,0.0,16.7,60.6,2008,reg,0
491,Brian Edwards,TOR,G,6,6,540,31,23,8,1.33,0/0,2,3,1,2.0,33.3,74.2,2008,reg,0
492,Doug Warren,NE,G,3,2,215,10,5,5,2.5,0/0,1,0,1,0.0,33.3,50.0,2008,reg,0
493,Josh Saunders,LA,G,3,3,270,13,8,6,2.0,1-Jan,1,2,0,0.0,33.3,61.5,2008,reg,0
494,Ray Burse,DAL,G,2,2,180,16,12,4,2.0,1-Jan,0,2,0,0.0,0.0,75.0,2008,reg,0
495,Danny Cepero,NY,G,2,2,180,11,5,6,3.0,0/0,1,1,0,0.0,50.0,45.5,2008,reg,0
496,Andy Gruenebaum,CLB,G,1,1,90,5,2,3,3.0,0/0,0,1,0,0.0,0.0,40.0,2008,reg,0
497,Jose Carvallo,DC,G,1,1,90,6,2,4,4.0,0/0,0,1,0,0.0,0.0,33.3,2008,reg,0
498,Caleb Patterson-Sewell,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
499,Lance Parker,CHV,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
500,Josh Lambo,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
501,Corbin Waller,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
502,Charles Alamo,LA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
503,Vito Higgins,LA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
504,Kenny Schoeni,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
505,David Monsalve,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
506,Justin Hughes,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
507,Eric Kronberg,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
508,Boris Pardo,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
509,Brad Knighton,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
510,Nick Noble,CHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
511,Terry Boss,NY,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
512,Tyler Kettering,CHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
513,Andrew Kartunen,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
514,Chris Sharpe,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
515,Kyle Reynish,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
516,Chris Seitz,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
517,Mike Graczyk,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
518,Dan Benton,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
519,James Thorpe,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
520,Michael Gustavson,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2008,reg,0
521,Pat Onstad,HOU,G,30,30,2700,121,89,29,0.97,4-Feb,13,8,9,10.0,43.3,73.6,2009,reg,0
522,Jon Busch,CHI,G,30,30,2700,136,103,34,1.13,5-May,11,7,12,10.0,36.7,75.7,2009,reg,0
523,Kevin Hartman,KC,G,30,30,2700,153,105,42,1.4,4-Mar,8,13,9,7.0,26.7,68.6,2009,reg,0
524,Kasey Keller,SEA,G,29,29,2549,108,78,26,0.9,3-Jan,12,5,11,10.0,41.4,72.2,2009,reg,0
525,Joe Cannon,SJ,G,28,28,2520,147,97,47,1.68,3-Mar,6,14,8,3.0,21.4,66.0,2009,reg,0
526,Zach Thornton,CHV,G,27,27,2385,111,83,23,0.85,2-Feb,12,9,6,12.0,44.4,74.8,2009,reg,1
527,Donovan Ricketts,LA,G,26,26,2274,112,82,26,1.0,5-Apr,10,5,10,9.0,38.5,73.2,2009,reg,0
528,Nick Rimando,RSL,G,26,26,2285,108,73,29,1.12,0/2,10,10,6,9.0,38.5,67.6,2009,reg,0
529,Stefan Frei,SEA,G,26,26,2295,141,98,38,1.46,4-Mar,9,9,7,5.0,34.6,69.5,2009,reg,0
530,Matt Reis,NE,G,24,24,2160,140,114,23,0.96,3-Feb,10,8,6,8.0,41.7,81.4,2009,reg,0
531,Josh Wicks,DC,G,19,19,1672,104,78,26,1.37,5-Apr,5,5,8,5.0,26.3,75.0,2009,reg,0
532,Matt Pickens,COL,G,19,19,1710,63,39,22,1.16,4-Apr,9,6,4,7.0,47.4,61.9,2009,reg,0
533,William Hesmer,CLB,G,19,19,1710,86,68,18,0.95,0/0,9,4,6,7.0,47.4,79.1,2009,reg,0
534,Ray Burse,DAL,G,17,16,1503,92,62,27,1.69,2-Feb,4,8,5,1.0,23.5,67.4,2009,reg,0
535,Dario Sala,DAL,G,14,14,1195,63,43,20,1.43,2-Feb,7,5,1,4.0,50.0,68.3,2009,reg,0
536,Danny Cepero,NY,G,13,13,1088,85,62,21,1.62,0/1,2,8,3,0.0,15.4,72.9,2009,reg,0
537,Preston Burpo,COL,G,11,11,990,41,23,16,1.45,1-Jan,1,4,6,1.0,9.1,56.1,2009,reg,0
538,Andy Gruenebaum,CLB,G,10,10,900,36,21,12,1.2,2-Jan,4,2,4,1.0,40.0,58.3,2009,reg,0
539,Jon Conway,CHV,G,9,9,810,51,33,16,1.78,4-Apr,1,7,1,1.0,11.1,64.7,2009,reg,0
540,Bouna Coundoul,NY,G,8,8,720,46,32,10,1.25,2-Jan,2,4,2,2.0,25.0,69.6,2009,reg,0
541,Josh Saunders,LA,G,6,4,426,18,12,5,1.25,1-Jan,2,1,2,2.0,33.3,66.7,2009,reg,0
542,Brad Knighton,NE,G,6,6,540,49,36,14,2.33,0/0,1,2,3,0.0,16.7,73.5,2009,reg,0
543,Louis Crayton,DC,G,6,6,540,31,21,8,1.33,0/0,2,1,3,1.0,33.3,67.7,2009,reg,0
544,Milos Kocic,DC,G,4,3,308,16,9,8,2.67,0/0,1,2,1,0.0,25.0,56.3,2009,reg,0
545,Lance Parker,CHV,G,4,3,315,19,11,8,2.67,1-Jan,1,2,0,1.0,25.0,57.9,2009,reg,0
546,Chris Seitz,DC,G,4,4,360,20,13,5,1.25,1-Jan,1,2,1,1.0,25.0,65.0,2009,reg,0
547,Brian Edwards,TOR,G,3,3,270,17,11,6,2.0,1-Jan,1,1,1,1.0,33.3,64.7,2009,reg,0
548,Greg Sutton,TOR,G,2,1,135,5,3,2,2.0,0/0,0,1,1,0.0,0.0,60.0,2009,reg,0
549,Steve Cronin,DC,G,2,2,180,12,9,2,1.0,1-Jan,1,0,1,1.0,50.0,75.0,2009,reg,0
550,Andrew Weber,SJ,G,2,2,180,17,11,3,1.5,0/0,1,0,1,0.0,50.0,64.7,2009,reg,0
551,Kyle Reynish,RSL,G,1,0,55,2,1,1,1.0,0/0,0,0,0,0.0,0.0,50.0,2009,reg,0
552,Ben Dragavon,SEA,G,1,0,61,3,2,1,1.0,0/0,0,1,0,0.0,0.0,66.7,2009,reg,0
553,Alec Dufty,NY,G,1,0,82,2,2,0,0.0,0/0,0,0,0,0.0,0.0,100.0,2009,reg,0
554,Chris Eylander,SEA,G,1,1,90,3,1,2,2.0,0/0,0,1,0,0.0,0.0,33.3,2009,reg,0
555,Kenny Schoeni,CLB,G,1,1,90,5,4,1,1.0,0/0,0,1,0,0.0,0.0,80.0,2009,reg,0
556,Josh Lambo,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
557,Dan Kennedy,CHV,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
558,Mike Graczyk,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
559,Tally Hall,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
560,Nick Noble,CHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
561,Eric Kronberg,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
562,Boris Pardo,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
563,Zack Simmons,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
564,Terry Boss,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
565,Steward Ceus,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
566,Andrew Dykstra,CHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
567,Bobby Shuttleworth,CHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
568,Tyler Deric,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2009,reg,0
569,Kasey Keller,SEA,G,30,30,2655,119,82,34,1.13,5-Apr,14,10,5,11.0,46.7,68.9,2010,reg,0
570,William Hesmer,CLB,G,30,30,2700,122,84,33,1.1,4-Apr,14,8,8,11.0,46.7,68.9,2010,reg,0
571,Donovan Ricketts,LA,G,29,29,2610,104,79,26,0.9,1-Jan,18,7,4,11.0,62.1,76.0,2010,reg,1
572,Matt Pickens,COL,G,29,29,2610,120,88,32,1.1,4-Apr,11,8,10,7.0,37.9,73.3,2010,reg,0
573,Jimmy Nielsen,KC,G,29,29,2610,114,80,34,1.17,1-Jan,10,13,6,10.0,34.5,70.2,2010,reg,0
574,Stefan Frei,SEA,G,28,28,2520,153,108,37,1.32,6-Jun,8,13,7,8.0,28.6,70.6,2010,reg,0
575,Bouna Coundoul,NY,G,27,27,2430,134,105,28,1.04,2-Jan,14,8,5,11.0,51.9,78.4,2010,reg,0
576,Nick Rimando,RSL,G,27,27,2430,100,78,18,0.67,4-Apr,15,4,8,14.0,55.6,78.0,2010,reg,0
577,Zach Thornton,CHV,G,23,23,2015,97,63,33,1.43,3-Mar,6,12,3,6.0,26.1,64.9,2010,reg,0
578,Chris Seitz,DC,G,23,22,2047,114,68,41,1.86,5-Apr,5,12,6,0.0,21.7,59.6,2010,reg,0
579,Pat Onstad,HOU,G,23,23,2070,90,49,40,1.74,0/0,6,12,5,4.0,26.1,54.4,2010,reg,0
580,Troy Perkins,DC,G,22,22,1980,109,72,37,1.68,3-Feb,3,15,4,5.0,13.6,66.1,2010,reg,0
581,Kevin Hartman,DAL,G,20,20,1755,71,56,12,0.6,2-Jan,10,1,8,9.0,50.0,78.9,2010,reg,0
582,Jon Busch,SJ,G,18,18,1620,104,81,19,1.06,0/0,7,6,5,7.0,38.9,77.9,2010,reg,0
583,Andrew Dykstra,CHI,G,17,17,1530,80,55,21,1.24,2-Feb,5,6,6,5.0,29.4,68.8,2010,reg,0
584,Matt Reis,NE,G,14,14,1260,79,51,25,1.79,3-Feb,4,7,3,3.0,28.6,64.6,2010,reg,0
585,Sean Johnson,NYC,G,13,13,1170,69,52,17,1.31,5-Apr,4,6,3,3.0,30.8,75.4,2010,reg,0
586,Joe Cannon,SJ,G,12,12,1080,55,38,14,1.17,0/0,6,4,2,6.0,50.0,69.1,2010,reg,0
587,Preston Burpo,NE,G,11,11,939,65,48,16,1.45,0/0,2,6,2,2.0,18.2,73.8,2010,reg,0
588,Dario Sala,DAL,G,11,10,945,50,34,16,1.6,2-Jan,2,3,6,1.0,18.2,68.0,2010,reg,0
589,Brad Knighton,NE,G,8,8,652,33,23,8,1.0,0/0,3,3,1,2.0,37.5,69.7,2010,reg,0
590,Bill Hamid,DC,G,8,8,720,31,20,10,1.25,0/0,3,5,0,1.0,37.5,64.5,2010,reg,0
591,Dan Kennedy,CHV,G,7,6,594,31,22,8,1.33,0/0,2,4,1,0.0,28.6,71.0,2010,reg,0
592,Bobby Shuttleworth,CHI,G,6,5,501,27,18,9,1.8,0/0,3,3,0,1.0,50.0,66.7,2010,reg,0
593,Tally Hall,HOU,G,5,5,450,26,18,8,1.6,0/0,1,3,1,1.0,20.0,69.2,2010,reg,0
594,Kyle Reynish,RSL,G,3,3,270,13,11,2,0.67,0/0,0,0,3,1.0,0.0,84.6,2010,reg,0
595,Greg Sutton,NY,G,3,3,270,10,9,1,0.33,0/0,1,1,1,2.0,33.3,90.0,2010,reg,0
596,Milos Kocic,TOR,G,2,1,107,8,5,3,3.0,1-Jan,1,0,1,0.0,50.0,62.5,2010,reg,0
597,Tyler Deric,HOU,G,2,2,180,9,8,1,0.5,0/0,2,0,0,1.0,100.0,88.9,2010,reg,0
598,Terry Boss,SEA,G,1,0,45,2,1,1,1.0,1-Jan,0,0,1,0.0,0.0,50.0,2010,reg,0
599,Jon Conway,TOR,G,1,1,72,2,2,1,1.0,0/0,0,0,0,0.0,0.0,100.0,2010,reg,0
600,Eric Kronberg,KC,G,1,1,90,4,3,1,1.0,0/0,1,0,0,0.0,100.0,75.0,2010,reg,0
601,Kevin Guppy,CHV,G,1,1,90,9,6,3,3.0,1-Jan,0,1,0,0.0,0.0,66.7,2010,reg,0
602,Josh Saunders,LA,G,1,1,90,1,1,0,0.0,0/0,0,0,1,1.0,0.0,100.0,2010,reg,0
603,Ian Joyce,COL,G,1,1,90,4,4,0,0.0,0/0,1,0,0,1.0,100.0,100.0,2010,reg,0
604,Josh Lambo,DAL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
605,Josh Wicks,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
606,Kenny Schoeni,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
607,Steward Ceus,COL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
608,Andrew Weber,SJ,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
609,Andy Gruenebaum,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
610,Andrew Quinn,DC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
611,Tim Murray,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
612,Tim Melia,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
613,Jon Kempin,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
614,Brian Perk,LA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2010,reg,0
615,Kasey Keller,SEA,G,34,34,3060,145,110,37,1.09,4-Mar,18,7,9,9.0,52.9,75.9,2011,reg,1
616,Matt Pickens,COL,G,34,34,3060,116,76,41,1.21,2-Feb,12,9,13,8.0,35.3,65.5,2011,reg,0
617,Tally Hall,HOU,G,34,34,3060,143,99,41,1.21,5-May,12,9,13,6.0,35.3,69.2,2011,reg,0
618,Kevin Hartman,DAL,G,33,33,2970,124,85,35,1.06,3-Mar,15,11,7,13.0,45.5,68.5,2011,reg,0
619,Nick Rimando,RSL,G,33,33,2970,134,95,36,1.09,7-May,14,11,8,13.0,42.4,70.9,2011,reg,0
620,Jon Busch,SJ,G,33,33,2970,160,113,44,1.33,4-Apr,7,12,14,7.0,21.2,70.6,2011,reg,0
621,William Hesmer,CLB,G,32,32,2880,135,92,44,1.38,4-Mar,11,13,8,8.0,34.4,68.1,2011,reg,0
622,Dan Kennedy,CHV,G,32,32,2880,142,100,39,1.22,4-Feb,8,12,12,9.0,25.0,70.4,2011,reg,0
623,Jimmy Nielsen,KC,G,31,31,2767,114,79,35,1.13,2-Jan,12,8,11,7.0,38.7,69.3,2011,reg,0
624,Troy Perkins,POR,G,29,29,2610,132,91,38,1.31,5-May,9,12,8,9.0,31.0,68.9,2011,reg,0
625,Bill Hamid,DC,G,28,28,2392,114,77,37,1.32,4-Apr,7,9,10,7.0,25.0,67.5,2011,reg,0
626,Sean Johnson,NYC,G,28,28,2520,115,76,37,1.32,4-Feb,9,7,12,7.0,32.1,66.1,2011,reg,0
627,Faryd Mondragon,PHI,G,27,27,2385,79,49,28,1.04,2-Feb,8,8,11,7.0,29.6,62.0,2011,reg,0
628,Stefan Frei,SEA,G,27,27,2406,155,106,49,1.81,4-Apr,3,12,11,6.0,11.1,68.4,2011,reg,0
629,Matt Reis,NE,G,27,27,2430,159,111,43,1.59,7-Jun,5,12,10,5.0,18.5,69.8,2011,reg,0
630,Joe Cannon,VAN,G,20,20,1800,99,66,32,1.6,3-Mar,4,12,4,3.0,20.0,66.7,2011,reg,0
631,Josh Saunders,LA,G,19,18,1639,73,55,17,0.94,2-Feb,12,2,4,8.0,63.2,75.3,2011,reg,0
632,Donovan Ricketts,LA,G,15,15,1284,54,41,11,0.73,1-Jan,7,3,4,7.0,46.7,75.9,2011,reg,0
633,Jay Nolly,VAN,G,14,14,1260,63,39,23,1.64,4-Mar,2,6,6,2.0,14.3,61.9,2011,reg,0
634,Bouna Coundoul,NY,G,12,11,1035,51,37,13,1.18,1-Jan,3,2,6,3.0,25.0,72.5,2011,reg,0
635,Frank Rost,NY,G,11,11,945,40,26,14,1.27,0/0,4,4,3,5.0,36.4,65.0,2011,reg,0
636,Greg Sutton,NY,G,10,10,900,44,30,15,1.5,5-Feb,3,2,5,2.0,30.0,68.2,2011,reg,0
637,Milos Kocic,TOR,G,8,7,654,47,35,10,1.43,0/0,3,1,4,1.0,37.5,74.5,2011,reg,0
638,Zac MacMath,RSL,G,8,7,675,25,16,8,1.14,1-Jan,3,0,4,3.0,37.5,64.0,2011,reg,0
639,Bobby Shuttleworth,CHI,G,7,7,630,32,17,15,2.14,1-Jan,0,4,3,0.0,0.0,53.1,2011,reg,0
640,Jon Conway,CHI,G,6,6,540,24,15,8,1.33,0/0,0,2,4,1.0,0.0,62.5,2011,reg,0
641,Eric Kronberg,KC,G,4,3,292,15,10,5,1.67,1-Jan,1,1,1,1.0,25.0,66.7,2011,reg,0
642,Jake Gleeson,POR,G,4,3,315,17,12,6,2.0,0/0,2,0,1,0.0,50.0,70.6,2011,reg,0
643,Joe Willis,NSH,G,3,3,270,16,12,4,1.33,0/0,1,2,0,1.0,33.3,75.0,2011,reg,0
644,Pat Onstad,DC,G,3,3,270,16,8,7,2.33,2-Feb,1,2,0,0.0,33.3,50.0,2011,reg,0
645,Steve Cronin,DC,G,2,0,126,10,6,4,4.0,0/0,0,0,2,0.0,0.0,60.0,2011,reg,0
646,Adin Brown,POR,G,2,2,135,9,5,4,2.0,0/0,0,2,0,0.0,0.0,55.6,2011,reg,0
647,Zach Thornton,CHV,G,2,2,180,7,3,4,2.0,0/0,0,2,0,0.0,0.0,42.9,2011,reg,0
648,Andy Gruenebaum,CLB,G,2,2,180,5,5,0,0.0,0/0,2,0,0,2.0,100.0,100.0,2011,reg,0
649,Kyle Reynish,RSL,G,1,1,90,2,2,0,0.0,0/0,1,0,0,1.0,100.0,100.0,2011,reg,0
650,Chris Seitz,DC,G,1,1,90,9,5,4,4.0,1-Jan,0,1,0,0.0,0.0,55.6,2011,reg,0
651,Chris Konopka,NY,G,1,1,90,4,2,2,2.0,0/0,0,0,1,0.0,0.0,50.0,2011,reg,0
652,Brian Perk,LA,G,1,1,90,2,2,0,0.0,0/1,0,0,1,1.0,0.0,100.0,2011,reg,0
653,David Bingham,LA,G,1,1,90,5,4,1,1.0,0/0,1,0,0,0.0,100.0,80.0,2011,reg,0
654,Alex Horwath,NY,G,1,1,90,4,4,0,0.0,0/0,0,0,1,1.0,0.0,100.0,2011,reg,0
655,Alec Dufty,CHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
656,Jon Kempin,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
657,Alex Riggs,CLB,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
658,Tyler Deric,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
659,Tim Murray,NE,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
660,Tim Melia,RSL,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
661,Evan Newton,HOU,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
662,Richard Sanchez,KC,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
663,Brian Sylvestre,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
664,Thorne Holder,PHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
665,Josh Ford,SEA,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
666,Chase Harrison,PHI,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
667,Bryan Meredith,VAN,G,0,0,0,0,0,0,0.0,0/0,0,0,0,0.0,0.0,0.0,2011,reg,0
